,Id,OrderId,ProductId,UnitPrice,Quantity,Discount,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
42,10262/56,10262,56,30.4,2,0.0,RATTC,8,2012-07-22,2012-08-19,2012-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
43,10263/16,10263,16,13.9,60,0.25,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
44,10263/24,10263,24,3.6,28,0.0,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
45,10263/30,10263,30,20.7,60,0.25,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
46,10263/74,10263,74,8.0,36,0.25,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
47,10264/2,10264,2,15.2,35,0.0,FOLKO,6,2012-07-24,2012-08-21,2012-08-23,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
48,10264/41,10264,41,7.7,25,0.15,FOLKO,6,2012-07-24,2012-08-21,2012-08-23,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
49,10265/17,10265,17,31.2,30,0.0,BLONP,2,2012-07-25,2012-08-22,2012-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
50,10265/70,10265,70,12.0,20,0.0,BLONP,2,2012-07-25,2012-08-22,2012-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
51,10266/12,10266,12,30.4,12,0.05,WARTH,3,2012-07-26,2012-09-06,2012-07-31,3,25.73,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
52,10267/40,10267,40,14.7,50,0.0,FRANK,4,2012-07-29,2012-08-26,2012-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
53,10267/59,10267,59,44.0,70,0.15,FRANK,4,2012-07-29,2012-08-26,2012-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
54,10267/76,10267,76,14.4,15,0.15,FRANK,4,2012-07-29,2012-08-26,2012-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
55,10268/29,10268,29,99.0,10,0.0,GROSR,8,2012-07-30,2012-08-27,2012-08-02,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela
56,10268/72,10268,72,27.8,4,0.0,GROSR,8,2012-07-30,2012-08-27,2012-08-02,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela
57,10269/33,10269,33,2.0,60,0.05,WHITC,5,2012-07-31,2012-08-14,2012-08-09,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA
58,10269/72,10269,72,27.8,20,0.05,WHITC,5,2012-07-31,2012-08-14,2012-08-09,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA
59,10270/36,10270,36,15.2,30,0.0,WARTH,1,2012-08-01,2012-08-29,2012-08-02,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
60,10270/43,10270,43,36.8,25,0.0,WARTH,1,2012-08-01,2012-08-29,2012-08-02,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
61,10271/33,10271,33,2.0,24,0.0,SPLIR,6,2012-08-01,2012-08-29,2012-08-30,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
62,10272/20,10272,20,64.8,6,0.0,RATTC,6,2012-08-02,2012-08-30,2012-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
63,10272/31,10272,31,10.0,40,0.0,RATTC,6,2012-08-02,2012-08-30,2012-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
64,10272/72,10272,72,27.8,24,0.0,RATTC,6,2012-08-02,2012-08-30,2012-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
65,10273/10,10273,10,24.8,24,0.05,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
66,10273/31,10273,31,10.0,15,0.05,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
67,10273/33,10273,33,2.0,20,0.0,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
68,10273/40,10273,40,14.7,60,0.05,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
69,10273/76,10273,76,14.4,33,0.05,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
70,10274/71,10274,71,17.2,20,0.0,VINET,6,2012-08-06,2012-09-03,2012-08-16,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France
71,10274/72,10274,72,27.8,7,0.0,VINET,6,2012-08-06,2012-09-03,2012-08-16,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France
72,10275/24,10275,24,3.6,12,0.05,MAGAA,1,2012-08-07,2012-09-04,2012-08-09,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
73,10275/59,10275,59,44.0,6,0.05,MAGAA,1,2012-08-07,2012-09-04,2012-08-09,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
74,10276/10,10276,10,24.8,15,0.0,TORTU,8,2012-08-08,2012-08-22,2012-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
75,10276/13,10276,13,4.8,10,0.0,TORTU,8,2012-08-08,2012-08-22,2012-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
76,10277/28,10277,28,36.4,20,0.0,MORGK,2,2012-08-09,2012-09-06,2012-08-13,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany
77,10277/62,10277,62,39.4,12,0.0,MORGK,2,2012-08-09,2012-09-06,2012-08-13,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany
78,10278/44,10278,44,15.5,16,0.0,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
79,10278/59,10278,59,44.0,15,0.0,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
80,10278/63,10278,63,35.1,8,0.0,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
81,10278/73,10278,73,12.0,25,0.0,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
82,10279/17,10279,17,31.2,15,0.25,LEHMS,8,2012-08-13,2012-09-10,2012-08-16,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
83,10280/24,10280,24,3.6,12,0.0,BERGS,2,2012-08-14,2012-09-11,2012-09-12,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
84,10280/55,10280,55,19.2,20,0.0,BERGS,2,2012-08-14,2012-09-11,2012-09-12,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
85,10280/75,10280,75,6.2,30,0.0,BERGS,2,2012-08-14,2012-09-11,2012-09-12,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
86,10281/19,10281,19,7.3,1,0.0,ROMEY,4,2012-08-14,2012-08-28,2012-08-21,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
87,10281/24,10281,24,3.6,6,0.0,ROMEY,4,2012-08-14,2012-08-28,2012-08-21,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
88,10281/35,10281,35,14.4,4,0.0,ROMEY,4,2012-08-14,2012-08-28,2012-08-21,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
89,10282/30,10282,30,20.7,6,0.0,ROMEY,4,2012-08-15,2012-09-12,2012-08-21,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
90,10282/57,10282,57,15.6,2,0.0,ROMEY,4,2012-08-15,2012-09-12,2012-08-21,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
91,10283/15,10283,15,12.4,20,0.0,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
92,10283/19,10283,19,7.3,18,0.0,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
93,10283/60,10283,60,27.2,35,0.0,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
94,10283/72,10283,72,27.8,3,0.0,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
95,10284/27,10284,27,35.1,15,0.25,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
96,10284/44,10284,44,15.5,21,0.0,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
97,10284/60,10284,60,27.2,20,0.25,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
98,10284/67,10284,67,11.2,5,0.25,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
99,10285/1,10285,1,14.4,45,0.2,QUICK,1,2012-08-20,2012-09-17,2012-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
100,10285/40,10285,40,14.7,40,0.2,QUICK,1,2012-08-20,2012-09-17,2012-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
101,10285/53,10285,53,26.2,36,0.2,QUICK,1,2012-08-20,2012-09-17,2012-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
102,10286/35,10286,35,14.4,100,0.0,QUICK,8,2012-08-21,2012-09-18,2012-08-30,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
103,10286/62,10286,62,39.4,40,0.0,QUICK,8,2012-08-21,2012-09-18,2012-08-30,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
104,10287/16,10287,16,13.9,40,0.15,RICAR,8,2012-08-22,2012-09-19,2012-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
105,10287/34,10287,34,11.2,20,0.0,RICAR,8,2012-08-22,2012-09-19,2012-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
106,10287/46,10287,46,9.6,15,0.15,RICAR,8,2012-08-22,2012-09-19,2012-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
107,10288/54,10288,54,5.9,10,0.1,REGGC,4,2012-08-23,2012-09-20,2012-09-03,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy
108,10288/68,10288,68,10.0,3,0.1,REGGC,4,2012-08-23,2012-09-20,2012-09-03,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy
109,10289/3,10289,3,8.0,30,0.0,BSBEV,7,2012-08-26,2012-09-23,2012-08-28,3,22.77,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK
110,10289/64,10289,64,26.6,9,0.0,BSBEV,7,2012-08-26,2012-09-23,2012-08-28,3,22.77,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK
111,10290/5,10290,5,17.0,20,0.0,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil
112,10290/29,10290,29,99.0,15,0.0,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil
113,10290/49,10290,49,16.0,15,0.0,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil
114,10290/77,10290,77,10.4,10,0.0,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil
115,10291/13,10291,13,4.8,20,0.1,QUEDE,6,2012-08-27,2012-09-24,2012-09-04,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
116,10291/44,10291,44,15.5,24,0.1,QUEDE,6,2012-08-27,2012-09-24,2012-09-04,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
117,10291/51,10291,51,42.4,2,0.1,QUEDE,6,2012-08-27,2012-09-24,2012-09-04,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
118,10292/20,10292,20,64.8,20,0.0,TRADH,1,2012-08-28,2012-09-25,2012-09-02,2,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil
119,10293/18,10293,18,50.0,12,0.0,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
120,10293/24,10293,24,3.6,10,0.0,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
121,10293/63,10293,63,35.1,5,0.0,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
122,10293/75,10293,75,6.2,6,0.0,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
123,10294/1,10294,1,14.4,18,0.0,RATTC,4,2012-08-30,2012-09-27,2012-09-05,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
124,10294/17,10294,17,31.2,15,0.0,RATTC,4,2012-08-30,2012-09-27,2012-09-05,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
125,10294/43,10294,43,36.8,15,0.0,RATTC,4,2012-08-30,2012-09-27,2012-09-05,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
126,10294/60,10294,60,27.2,21,0.0,RATTC,4,2012-08-30,2012-09-27,2012-09-05,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
127,10294/75,10294,75,6.2,6,0.0,RATTC,4,2012-08-30,2012-09-27,2012-09-05,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
128,10295/56,10295,56,30.4,4,0.0,VINET,2,2012-09-02,2012-09-30,2012-09-10,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France
129,10296/11,10296,11,16.8,12,0.0,LILAS,6,2012-09-03,2012-10-01,2012-09-11,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
130,10296/16,10296,16,13.9,30,0.0,LILAS,6,2012-09-03,2012-10-01,2012-09-11,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
131,10296/69,10296,69,28.8,15,0.0,LILAS,6,2012-09-03,2012-10-01,2012-09-11,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
132,10297/39,10297,39,14.4,60,0.0,BLONP,5,2012-09-04,2012-10-16,2012-09-10,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
133,10297/72,10297,72,27.8,20,0.0,BLONP,5,2012-09-04,2012-10-16,2012-09-10,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
134,10298/2,10298,2,15.2,40,0.0,HUNGO,6,2012-09-05,2012-10-03,2012-09-11,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
135,10298/36,10298,36,15.2,40,0.25,HUNGO,6,2012-09-05,2012-10-03,2012-09-11,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
136,10298/59,10298,59,44.0,30,0.25,HUNGO,6,2012-09-05,2012-10-03,2012-09-11,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
137,10298/62,10298,62,39.4,15,0.0,HUNGO,6,2012-09-05,2012-10-03,2012-09-11,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
138,10299/19,10299,19,7.3,15,0.0,RICAR,4,2012-09-06,2012-10-04,2012-09-13,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
