,Id,OrderId,ProductId,UnitPrice,Quantity,Discount,CustomerId,EmployeeId,OrderDate,ShipVia,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,price,OnSale,discounted_order,order_total,week_day,month,month_name
107,10288/54,10288,54,5.9,10,0.1,REGGC,4,2012-08-23,1,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy,53.10000000000001,1,1,80.10000000000001,3,8,aug
109,10289/3,10289,3,8.0,30,0.0,BSBEV,7,2012-08-26,3,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK,240.0,0,0,479.4,6,8,aug
111,10290/5,10290,5,17.0,20,0.0,COMMI,8,2012-08-27,1,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil,340.0,0,0,2169.0,0,8,aug
115,10291/13,10291,13,4.8,20,0.1,QUEDE,6,2012-08-27,2,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,86.4,1,1,497.52000000000004,0,8,aug
118,10292/20,10292,20,64.8,20,0.0,TRADH,1,2012-08-28,2,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil,1296.0,0,0,1296.0,1,8,aug
119,10293/18,10293,18,50.0,12,0.0,TORTU,1,2012-08-29,3,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,600.0,0,0,848.7,2,8,aug
123,10294/1,10294,1,14.4,18,0.0,RATTC,4,2012-08-30,2,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,259.2,0,0,1887.6000000000001,3,8,aug
128,10295/56,10295,56,30.4,4,0.0,VINET,2,2012-09-02,2,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,121.6,0,0,121.6,6,9,sep
129,10296/11,10296,11,16.8,12,0.0,LILAS,6,2012-09-03,1,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,201.60000000000002,0,0,1050.6,0,9,sep
132,10297/39,10297,39,14.4,60,0.0,BLONP,5,2012-09-04,2,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,864.0,0,0,1420.0,1,9,sep
134,10298/2,10298,2,15.2,40,0.0,HUNGO,6,2012-09-05,2,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,608.0,0,1,2645.0,2,9,sep
138,10299/19,10299,19,7.3,15,0.0,RICAR,4,2012-09-06,2,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,109.5,0,0,349.5,3,9,sep
140,10300/66,10300,66,13.6,30,0.0,MAGAA,2,2012-09-09,2,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,408.0,0,0,608.0,6,9,sep
142,10301/40,10301,40,14.7,10,0.0,WANDK,8,2012-09-09,2,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,147.0,0,0,755.0,6,9,sep
144,10302/17,10302,17,31.2,40,0.0,SUPRD,4,2012-09-10,2,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,1248.0,0,0,2708.7999999999997,0,9,sep
147,10303/40,10303,40,14.7,40,0.1,GODOS,7,2012-09-11,2,Godos Cocina Típica,"C/ Romero, 33",Sevilla,Southern Europe,41101,Spain,529.2,1,1,1117.8000000000002,1,9,sep
150,10304/49,10304,49,16.0,30,0.0,TORTU,1,2012-09-12,2,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,480.0,0,0,954.4,2,9,sep
153,10305/18,10305,18,50.0,25,0.1,OLDWO,8,2012-09-13,3,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA,1125.0,1,1,3741.3,3,9,sep
156,10306/30,10306,30,20.7,10,0.0,ROMEY,1,2012-09-16,3,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,207.0,0,0,498.5,6,9,sep
159,10307/62,10307,62,39.4,10,0.0,LONEP,2,2012-09-17,2,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA,394.0,0,0,424.0,0,9,sep
161,10308/69,10308,69,28.8,1,0.0,ANATR,7,2012-09-18,3,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,Central America,05021,Mexico,28.8,0,0,88.8,1,9,sep
163,10309/4,10309,4,17.6,20,0.0,HUNGO,3,2012-09-19,1,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,352.0,0,0,1762.0,2,9,sep
168,10310/16,10310,16,13.9,10,0.0,THEBI,8,2012-09-20,2,The Big Cheese,89 Jefferson Way Suite 2,Portland,North America,97201,USA,139.0,0,0,336.0,3,9,sep
170,10311/42,10311,42,11.2,6,0.0,DUMO,1,2012-09-20,3,Du monde entier,"67, rue des Cinquante Otages",Nantes,Western Europe,44000,France,67.19999999999999,0,0,268.79999999999995,3,9,sep
172,10312/28,10312,28,36.4,4,0.0,WANDK,2,2012-09-23,2,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,145.6,0,0,1614.8,6,9,sep
176,10313/36,10313,36,15.2,12,0.0,QUICK,2,2012-09-24,2,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,182.39999999999998,0,0,182.39999999999998,0,9,sep
177,10314/32,10314,32,25.6,40,0.1,RATTC,1,2012-09-25,2,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,921.6000000000001,1,1,2094.3,1,9,sep
180,10315/34,10315,34,11.2,14,0.0,ISLAT,4,2012-09-26,2,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,156.79999999999998,0,0,516.8,2,9,sep
182,10316/41,10316,41,7.7,10,0.0,RATTC,1,2012-09-27,3,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,77.0,0,0,2835.0,3,9,sep
184,10317/1,10317,1,14.4,20,0.0,LONEP,6,2012-09-30,1,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA,288.0,0,0,288.0,6,9,sep
185,10318/41,10318,41,7.7,20,0.0,ISLAT,8,2012-10-01,2,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,154.0,0,0,240.4,0,10,oct
187,10319/17,10319,17,31.2,8,0.0,TORTU,7,2012-10-02,3,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,249.6,0,0,1191.1999999999998,1,10,oct
190,10320/71,10320,71,17.2,30,0.0,WARTH,5,2012-10-03,3,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,516.0,0,0,516.0,2,10,oct
191,10321/35,10321,35,14.4,10,0.0,ISLAT,3,2012-10-03,2,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,144.0,0,0,144.0,2,10,oct
192,10322/52,10322,52,5.6,20,0.0,PERIC,7,2012-10-04,3,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico,112.0,0,0,112.0,3,10,oct
193,10323/15,10323,15,12.4,5,0.0,KOENE,4,2012-10-07,1,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany,62.0,0,0,164.4,6,10,oct
196,10324/16,10324,16,13.9,21,0.15,SAVEA,9,2012-10-08,1,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA,248.11499999999998,1,1,5275.715,0,10,oct
201,10325/6,10325,6,20.0,6,0.0,KOENE,1,2012-10-09,3,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany,120.0,0,0,1497.0,1,10,oct
206,10326/4,10326,4,17.6,24,0.0,BOLID,4,2012-10-10,2,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,Southern Europe,28023,Spain,422.40000000000003,0,0,982.0,2,10,oct
209,10327/2,10327,2,15.2,25,0.2,FOLKO,2,2012-10-11,1,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,304.0,1,1,1810.0,3,10,oct
213,10328/59,10328,59,44.0,9,0.0,FURIB,4,2012-10-14,3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal,396.0,0,0,1168.0,6,10,oct
216,10329/19,10329,19,7.3,10,0.05,SPLIR,4,2012-10-15,2,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,69.35,1,1,4578.43,0,10,oct
220,10330/26,10330,26,24.9,50,0.15,LILAS,3,2012-10-16,1,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,1058.25,1,1,1649.0,1,10,oct
222,10331/54,10331,54,5.9,15,0.0,BONAP,9,2012-10-16,1,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,88.5,0,0,88.5,1,10,oct
223,10332/18,10332,18,50.0,40,0.2,MEREP,3,2012-10-17,2,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,1600.0,1,1,1786.8799999999999,2,10,oct
226,10333/14,10333,14,18.6,10,0.0,WARTH,5,2012-10-18,3,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,186.0,0,1,877.2,3,10,oct
229,10334/52,10334,52,5.6,8,0.0,VICTE,8,2012-10-21,2,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,44.8,0,0,144.8,6,10,oct
231,10335/2,10335,2,15.2,7,0.2,HUNGO,7,2012-10-22,2,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,85.12,1,1,2036.16,0,10,oct
235,10336/4,10336,4,17.6,18,0.1,PRINI,7,2012-10-23,2,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal,285.12,1,1,285.12,1,10,oct
236,10337/23,10337,23,7.2,40,0.0,FRANK,4,2012-10-24,3,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,288.0,0,0,2467.0,2,10,oct
241,10338/17,10338,17,31.2,20,0.0,OLDWO,4,2012-10-25,3,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA,624.0,0,0,934.5,3,10,oct
243,10339/4,10339,4,17.6,10,0.0,MEREP,2,2012-10-28,2,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,176.0,0,1,3354.0,6,10,oct
246,10340/18,10340,18,50.0,20,0.05,BONAP,1,2012-10-29,3,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,950.0,1,1,2436.1799999999994,0,10,oct
249,10341/33,10341,33,2.0,8,0.0,SIMOB,7,2012-10-29,3,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,1734,Denmark,16.0,0,1,352.59999999999997,0,10,oct
251,10342/2,10342,2,15.2,24,0.2,FRANK,4,2012-10-30,2,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,291.84000000000003,1,1,1840.6399999999999,1,10,oct
255,10343/64,10343,64,26.6,50,0.0,LEHMS,4,2012-10-31,1,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,1330.0,0,1,1584.0,2,10,oct
258,10344/4,10344,4,17.6,35,0.0,WHITC,4,2012-11-01,2,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,616.0,0,1,2296.0,3,11,nov
260,10345/8,10345,8,32.0,70,0.0,QUICK,2,2012-11-04,2,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,2240.0,0,0,2924.8,6,11,nov
263,10346/17,10346,17,31.2,36,0.1,RATTC,3,2012-11-05,3,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,1010.8799999999999,1,1,1618.8799999999999,0,11,nov
265,10347/25,10347,25,11.2,10,0.0,FAMIA,4,2012-11-06,3,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil,112.0,0,1,814.42,1,11,nov
269,10348/1,10348,1,14.4,15,0.15,WANDK,4,2012-11-07,2,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,183.6,1,1,363.6,2,11,nov
271,10349/54,10349,54,5.9,24,0.0,SPLIR,7,2012-11-08,1,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,141.60000000000002,0,0,141.60000000000002,3,11,nov
272,10350/50,10350,50,13.0,15,0.1,LAMAI,6,2012-11-11,2,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,175.50000000000003,1,1,642.0600000000001,6,11,nov
274,10351/38,10351,38,210.8,20,0.05,ERNSH,1,2012-11-11,1,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,4005.2,1,1,5398.725,6,11,nov
278,10352/24,10352,24,3.6,10,0.0,FURIB,3,2012-11-12,3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal,36.0,0,1,136.3,0,11,nov
280,10353/11,10353,11,16.8,12,0.2,PICCO,7,2012-11-13,3,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,5020,Austria,161.28000000000003,1,1,8593.28,1,11,nov
282,10354/1,10354,1,14.4,12,0.0,PERIC,8,2012-11-14,3,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico,172.8,0,0,568.8,2,11,nov
284,10355/24,10355,24,3.6,25,0.0,AROUT,6,2012-11-15,1,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK,90.0,0,0,480.0,3,11,nov
286,10356/31,10356,31,10.0,30,0.0,WANDK,6,2012-11-18,2,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,300.0,0,0,1106.4,6,11,nov
289,10357/10,10357,10,24.8,30,0.2,LILAS,1,2012-11-19,3,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,595.2,1,1,1167.68,0,11,nov
292,10358/24,10358,24,3.6,10,0.05,LAMAI,5,2012-11-20,1,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,34.2,1,1,429.4,1,11,nov
295,10359/16,10359,16,13.9,56,0.05,SEVES,5,2012-11-21,3,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK,739.48,1,1,3471.68,2,11,nov
298,10360/28,10360,28,36.4,30,0.0,BLONP,4,2012-11-22,3,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,1092.0,0,0,7390.2,3,11,nov
303,10361/39,10361,39,14.4,54,0.1,QUICK,1,2012-11-22,2,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,699.84,1,1,2046.2400000000002,3,11,nov
305,10362/25,10362,25,11.2,50,0.0,BONAP,3,2012-11-25,1,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,560.0,0,0,1549.6,6,11,nov
308,10363/31,10363,31,10.0,20,0.0,DRACD,4,2012-11-26,3,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,52066,Germany,200.0,0,0,447.2,0,11,nov
311,10364/69,10364,69,28.8,30,0.0,EASTC,1,2012-11-26,1,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK,864.0,0,0,950.0,0,11,nov
313,10365/11,10365,11,16.8,24,0.0,ANTO,3,2012-11-27,2,Antonio Moreno Taquería,Mataderos  2312,México D.F.,Central America,05023,Mexico,403.20000000000005,0,0,403.20000000000005,1,11,nov
314,10366/65,10366,65,16.8,5,0.0,GALED,8,2012-11-28,2,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,8022,Spain,84.0,0,0,136.0,2,11,nov
316,10367/34,10367,34,11.2,36,0.0,VAFFE,7,2012-11-28,3,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark,403.2,0,0,834.1999999999999,2,11,nov
320,10368/21,10368,21,8.0,5,0.1,ERNSH,2,2012-11-29,2,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,36.0,1,1,1689.7800000000002,3,11,nov
324,10369/29,10369,29,99.0,20,0.0,SPLIR,8,2012-12-02,2,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,1980.0,0,1,2390.4,6,12,dec
326,10370/1,10370,1,14.4,15,0.15,CHOPS,6,2012-12-03,2,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,183.6,1,1,1117.6,0,12,dec
329,10371/36,10371,36,15.2,6,0.2,LAMAI,1,2012-12-03,1,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,72.96000000000001,1,1,72.96000000000001,0,12,dec
330,10372/20,10372,20,64.8,12,0.25,QUEE,5,2012-12-04,2,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil,583.1999999999999,1,1,9210.900000000001,1,12,dec
334,10373/58,10373,58,10.6,80,0.2,HUNGO,4,2012-12-05,3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,678.4000000000001,1,1,1366.4,2,12,dec
336,10374/31,10374,31,10.0,30,0.0,WOLZA,1,2012-12-05,3,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland,300.0,0,0,459.0,2,12,dec
338,10375/14,10375,14,18.6,15,0.0,HUNGC,3,2012-12-06,2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA,279.0,0,0,338.0,3,12,dec
340,10376/31,10376,31,10.0,42,0.05,MEREP,1,2012-12-09,2,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,399.0,1,1,399.0,6,12,dec
341,10377/28,10377,28,36.4,20,0.15,SEVES,1,2012-12-09,3,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK,618.8,1,1,863.5999999999999,6,12,dec
343,10378/71,10378,71,17.2,6,0.0,FOLKO,5,2012-12-10,3,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,103.19999999999999,0,0,103.19999999999999,0,12,dec
344,10379/41,10379,41,7.7,8,0.1,QUEDE,2,2012-12-11,1,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,55.440000000000005,1,1,863.2800000000002,1,12,dec
347,10380/30,10380,30,20.7,18,0.1,HUNGO,8,2012-12-12,3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,335.34,1,1,1313.82,2,12,dec
351,10381/74,10381,74,8.0,14,0.0,LILAS,3,2012-12-12,3,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,112.0,0,0,112.0,2,12,dec
352,10382/5,10382,5,17.0,32,0.0,ERNSH,4,2012-12-13,1,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,544.0,0,0,2900.0,3,12,dec
357,10383/13,10383,13,4.8,20,0.0,AROUT,8,2012-12-16,3,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK,96.0,0,0,899.0,6,12,dec
