Id,OrderId,ProductId,UnitPrice,Quantity,Discount,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,price,OnSale,discounted_order,order_total
10257/39,10257,39,14.4,6,0.0,HILAA,4,2012-07-16,2012-08-13,2012-07-22,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela,86.4,0,0,1119.9
10257/77,10257,77,10.4,15,0.0,HILAA,4,2012-07-16,2012-08-13,2012-07-22,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela,156.0,0,0,1119.9
10258/2,10258,2,15.2,50,0.2,ERNSH,1,2012-07-17,2012-08-14,2012-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,608.0,1,1,1614.88
10258/5,10258,5,17.0,65,0.2,ERNSH,1,2012-07-17,2012-08-14,2012-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,884.0000000000001,1,1,1614.88
10258/32,10258,32,25.6,6,0.2,ERNSH,1,2012-07-17,2012-08-14,2012-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,122.88000000000002,1,1,1614.88
10259/21,10259,21,8.0,10,0.0,CENTC,4,2012-07-18,2012-08-15,2012-07-25,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Central America,05022,Mexico,80.0,0,0,100.8
10259/37,10259,37,20.8,1,0.0,CENTC,4,2012-07-18,2012-08-15,2012-07-25,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Central America,05022,Mexico,20.8,0,0,100.8
10260/41,10260,41,7.7,16,0.25,OTTIK,4,2012-07-19,2012-08-16,2012-07-29,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,92.4,1,1,1504.6499999999999
10260/57,10260,57,15.6,50,0.0,OTTIK,4,2012-07-19,2012-08-16,2012-07-29,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,780.0,0,1,1504.6499999999999
10260/62,10260,62,39.4,15,0.25,OTTIK,4,2012-07-19,2012-08-16,2012-07-29,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,443.24999999999994,1,1,1504.6499999999999
10260/70,10260,70,12.0,21,0.25,OTTIK,4,2012-07-19,2012-08-16,2012-07-29,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,189.0,1,1,1504.6499999999999
10261/21,10261,21,8.0,20,0.0,QUEDE,4,2012-07-19,2012-08-16,2012-07-30,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,160.0,0,0,448.0
10261/35,10261,35,14.4,20,0.0,QUEDE,4,2012-07-19,2012-08-16,2012-07-30,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,288.0,0,0,448.0
10262/5,10262,5,17.0,12,0.2,RATTC,8,2012-07-22,2012-08-19,2012-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,163.20000000000002,1,1,584.0
10262/7,10262,7,24.0,15,0.0,RATTC,8,2012-07-22,2012-08-19,2012-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,360.0,0,1,584.0
10262/56,10262,56,30.4,2,0.0,RATTC,8,2012-07-22,2012-08-19,2012-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,60.8,0,1,584.0
10263/16,10263,16,13.9,60,0.25,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,625.5,1,1,1873.7999999999997
10263/24,10263,24,3.6,28,0.0,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,100.8,0,1,1873.7999999999997
10263/30,10263,30,20.7,60,0.25,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,931.4999999999999,1,1,1873.7999999999997
10263/74,10263,74,8.0,36,0.25,ERNSH,9,2012-07-23,2012-08-20,2012-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,216.0,1,1,1873.7999999999997
10264/2,10264,2,15.2,35,0.0,FOLKO,6,2012-07-24,2012-08-21,2012-08-23,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,532.0,0,1,695.625
10264/41,10264,41,7.7,25,0.15,FOLKO,6,2012-07-24,2012-08-21,2012-08-23,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,163.625,1,1,695.625
10265/17,10265,17,31.2,30,0.0,BLONP,2,2012-07-25,2012-08-22,2012-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,936.0,0,0,1176.0
10265/70,10265,70,12.0,20,0.0,BLONP,2,2012-07-25,2012-08-22,2012-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,240.0,0,0,1176.0
10266/12,10266,12,30.4,12,0.05,WARTH,3,2012-07-26,2012-09-06,2012-07-31,3,25.73,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,346.56,1,1,346.56
10267/40,10267,40,14.7,50,0.0,FRANK,4,2012-07-29,2012-08-26,2012-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,735.0,0,1,3536.6
10267/59,10267,59,44.0,70,0.15,FRANK,4,2012-07-29,2012-08-26,2012-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,2618.0,1,1,3536.6
10267/76,10267,76,14.4,15,0.15,FRANK,4,2012-07-29,2012-08-26,2012-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,183.6,1,1,3536.6
10268/29,10268,29,99.0,10,0.0,GROSR,8,2012-07-30,2012-08-27,2012-08-02,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela,990.0,0,0,1101.2
10268/72,10268,72,27.8,4,0.0,GROSR,8,2012-07-30,2012-08-27,2012-08-02,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela,111.2,0,0,1101.2
10269/33,10269,33,2.0,60,0.05,WHITC,5,2012-07-31,2012-08-14,2012-08-09,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,114.0,1,1,642.2
10269/72,10269,72,27.8,20,0.05,WHITC,5,2012-07-31,2012-08-14,2012-08-09,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,528.2,1,1,642.2
10270/36,10270,36,15.2,30,0.0,WARTH,1,2012-08-01,2012-08-29,2012-08-02,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,456.0,0,0,1376.0
10270/43,10270,43,36.8,25,0.0,WARTH,1,2012-08-01,2012-08-29,2012-08-02,1,136.54,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,919.9999999999999,0,0,1376.0
10271/33,10271,33,2.0,24,0.0,SPLIR,6,2012-08-01,2012-08-29,2012-08-30,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,48.0,0,0,48.0
10272/20,10272,20,64.8,6,0.0,RATTC,6,2012-08-02,2012-08-30,2012-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,388.79999999999995,0,0,1456.0
10272/31,10272,31,10.0,40,0.0,RATTC,6,2012-08-02,2012-08-30,2012-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,400.0,0,0,1456.0
10272/72,10272,72,27.8,24,0.0,RATTC,6,2012-08-02,2012-08-30,2012-08-06,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,667.2,0,0,1456.0
10273/10,10273,10,24.8,24,0.05,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,565.4399999999999,1,1,2037.2799999999997
10273/31,10273,31,10.0,15,0.05,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,142.5,1,1,2037.2799999999997
10273/33,10273,33,2.0,20,0.0,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,40.0,0,1,2037.2799999999997
10273/40,10273,40,14.7,60,0.05,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,837.8999999999999,1,1,2037.2799999999997
10273/76,10273,76,14.4,33,0.05,QUICK,3,2012-08-05,2012-09-02,2012-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,451.44,1,1,2037.2799999999997
10274/71,10274,71,17.2,20,0.0,VINET,6,2012-08-06,2012-09-03,2012-08-16,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,344.0,0,0,538.6
10274/72,10274,72,27.8,7,0.0,VINET,6,2012-08-06,2012-09-03,2012-08-16,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,194.6,0,0,538.6
10275/24,10275,24,3.6,12,0.05,MAGAA,1,2012-08-07,2012-09-04,2012-08-09,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,41.04,1,1,291.84
10275/59,10275,59,44.0,6,0.05,MAGAA,1,2012-08-07,2012-09-04,2012-08-09,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,250.79999999999998,1,1,291.84
10276/10,10276,10,24.8,15,0.0,TORTU,8,2012-08-08,2012-08-22,2012-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,372.0,0,0,420.0
10276/13,10276,13,4.8,10,0.0,TORTU,8,2012-08-08,2012-08-22,2012-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,48.0,0,0,420.0
10277/28,10277,28,36.4,20,0.0,MORGK,2,2012-08-09,2012-09-06,2012-08-13,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany,728.0,0,0,1200.8
10277/62,10277,62,39.4,12,0.0,MORGK,2,2012-08-09,2012-09-06,2012-08-13,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany,472.79999999999995,0,0,1200.8
10278/44,10278,44,15.5,16,0.0,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,248.0,0,0,1488.8
10278/59,10278,59,44.0,15,0.0,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,660.0,0,0,1488.8
10278/63,10278,63,35.1,8,0.0,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,280.8,0,0,1488.8
10278/73,10278,73,12.0,25,0.0,BERGS,8,2012-08-12,2012-09-09,2012-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,300.0,0,0,1488.8
10279/17,10279,17,31.2,15,0.25,LEHMS,8,2012-08-13,2012-09-10,2012-08-16,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,351.0,1,1,351.0
10280/24,10280,24,3.6,12,0.0,BERGS,2,2012-08-14,2012-09-11,2012-09-12,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,43.2,0,0,613.2
10280/55,10280,55,19.2,20,0.0,BERGS,2,2012-08-14,2012-09-11,2012-09-12,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,384.0,0,0,613.2
10280/75,10280,75,6.2,30,0.0,BERGS,2,2012-08-14,2012-09-11,2012-09-12,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,186.0,0,0,613.2
10281/19,10281,19,7.3,1,0.0,ROMEY,4,2012-08-14,2012-08-28,2012-08-21,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,7.3,0,0,86.5
10281/24,10281,24,3.6,6,0.0,ROMEY,4,2012-08-14,2012-08-28,2012-08-21,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,21.6,0,0,86.5
10281/35,10281,35,14.4,4,0.0,ROMEY,4,2012-08-14,2012-08-28,2012-08-21,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,57.6,0,0,86.5
10282/30,10282,30,20.7,6,0.0,ROMEY,4,2012-08-15,2012-09-12,2012-08-21,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,124.19999999999999,0,0,155.39999999999998
10282/57,10282,57,15.6,2,0.0,ROMEY,4,2012-08-15,2012-09-12,2012-08-21,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,31.2,0,0,155.39999999999998
10283/15,10283,15,12.4,20,0.0,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,248.0,0,0,1414.8000000000002
10283/19,10283,19,7.3,18,0.0,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,131.4,0,0,1414.8000000000002
10283/60,10283,60,27.2,35,0.0,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,952.0,0,0,1414.8000000000002
10283/72,10283,72,27.8,3,0.0,LILAS,3,2012-08-16,2012-09-13,2012-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,83.4,0,0,1414.8000000000002
10284/27,10284,27,35.1,15,0.25,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,394.87500000000006,1,1,1170.375
10284/44,10284,44,15.5,21,0.0,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,325.5,0,1,1170.375
10284/60,10284,60,27.2,20,0.25,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,408.0,1,1,1170.375
10284/67,10284,67,11.2,5,0.25,LEHMS,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,41.99999999999999,1,1,1170.375
10285/1,10285,1,14.4,45,0.2,QUICK,1,2012-08-20,2012-09-17,2012-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,518.4000000000001,1,1,1743.3600000000001
10285/40,10285,40,14.7,40,0.2,QUICK,1,2012-08-20,2012-09-17,2012-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,470.4,1,1,1743.3600000000001
10285/53,10285,53,26.2,36,0.2,QUICK,1,2012-08-20,2012-09-17,2012-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,754.5600000000001,1,1,1743.3600000000001
10286/35,10286,35,14.4,100,0.0,QUICK,8,2012-08-21,2012-09-18,2012-08-30,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,1440.0,0,0,3016.0
10286/62,10286,62,39.4,40,0.0,QUICK,8,2012-08-21,2012-09-18,2012-08-30,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,1576.0,0,0,3016.0
10287/16,10287,16,13.9,40,0.15,RICAR,8,2012-08-22,2012-09-19,2012-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,472.59999999999997,1,1,818.9999999999999
10287/34,10287,34,11.2,20,0.0,RICAR,8,2012-08-22,2012-09-19,2012-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,224.0,0,1,818.9999999999999
10287/46,10287,46,9.6,15,0.15,RICAR,8,2012-08-22,2012-09-19,2012-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,122.4,1,1,818.9999999999999
10288/54,10288,54,5.9,10,0.1,REGGC,4,2012-08-23,2012-09-20,2012-09-03,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy,53.10000000000001,1,1,80.10000000000001
10288/68,10288,68,10.0,3,0.1,REGGC,4,2012-08-23,2012-09-20,2012-09-03,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy,27.0,1,1,80.10000000000001
10289/3,10289,3,8.0,30,0.0,BSBEV,7,2012-08-26,2012-09-23,2012-08-28,3,22.77,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK,240.0,0,0,479.4
10289/64,10289,64,26.6,9,0.0,BSBEV,7,2012-08-26,2012-09-23,2012-08-28,3,22.77,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK,239.4,0,0,479.4
10290/5,10290,5,17.0,20,0.0,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil,340.0,0,0,2169.0
10290/29,10290,29,99.0,15,0.0,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil,1485.0,0,0,2169.0
10290/49,10290,49,16.0,15,0.0,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil,240.0,0,0,2169.0
10290/77,10290,77,10.4,10,0.0,COMMI,8,2012-08-27,2012-09-24,2012-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil,104.0,0,0,2169.0
10291/13,10291,13,4.8,20,0.1,QUEDE,6,2012-08-27,2012-09-24,2012-09-04,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,86.4,1,1,497.52000000000004
10291/44,10291,44,15.5,24,0.1,QUEDE,6,2012-08-27,2012-09-24,2012-09-04,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,334.8,1,1,497.52000000000004
10291/51,10291,51,42.4,2,0.1,QUEDE,6,2012-08-27,2012-09-24,2012-09-04,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,76.32,1,1,497.52000000000004
10292/20,10292,20,64.8,20,0.0,TRADH,1,2012-08-28,2012-09-25,2012-09-02,2,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil,1296.0,0,0,1296.0
10293/18,10293,18,50.0,12,0.0,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,600.0,0,0,848.7
10293/24,10293,24,3.6,10,0.0,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,36.0,0,0,848.7
10293/63,10293,63,35.1,5,0.0,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,175.5,0,0,848.7
10293/75,10293,75,6.2,6,0.0,TORTU,1,2012-08-29,2012-09-26,2012-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,37.2,0,0,848.7
