,Id,ProductId,UnitPrice,Quantity,Discount,OrderId,CustomerId,EmployeeId,OrderDate,ShipPostalCode,price,OnSale,discounted_order,order_total,week_day,month
27,10257/39,39,14.4,6,0.0,10257,HILAA,4,2012-07-16,5022,86.4,False,False,1119.9,0,7
28,10257/77,77,10.4,15,0.0,10257,HILAA,4,2012-07-16,5022,156.0,False,False,1119.9,0,7
29,10258/2,2,15.2,50,0.2,10258,ERNSH,1,2012-07-17,8010,608.0,True,True,1614.88,1,7
30,10258/5,5,17.0,65,0.2,10258,ERNSH,1,2012-07-17,8010,884.0000000000001,True,True,1614.88,1,7
31,10258/32,32,25.6,6,0.2,10258,ERNSH,1,2012-07-17,8010,122.88000000000002,True,True,1614.88,1,7
32,10259/21,21,8.0,10,0.0,10259,CENTC,4,2012-07-18,05022,80.0,False,False,100.8,2,7
33,10259/37,37,20.8,1,0.0,10259,CENTC,4,2012-07-18,05022,20.8,False,False,100.8,2,7
34,10260/41,41,7.7,16,0.25,10260,OTTIK,4,2012-07-19,50739,92.4,True,True,1504.6499999999999,3,7
35,10260/57,57,15.6,50,0.0,10260,OTTIK,4,2012-07-19,50739,780.0,False,True,1504.6499999999999,3,7
36,10260/62,62,39.4,15,0.25,10260,OTTIK,4,2012-07-19,50739,443.24999999999994,True,True,1504.6499999999999,3,7
37,10260/70,70,12.0,21,0.25,10260,OTTIK,4,2012-07-19,50739,189.0,True,True,1504.6499999999999,3,7
38,10261/21,21,8.0,20,0.0,10261,QUEDE,4,2012-07-19,02389-673,160.0,False,False,448.0,3,7
39,10261/35,35,14.4,20,0.0,10261,QUEDE,4,2012-07-19,02389-673,288.0,False,False,448.0,3,7
40,10262/5,5,17.0,12,0.2,10262,RATTC,8,2012-07-22,87110,163.20000000000002,True,True,584.0,6,7
41,10262/7,7,24.0,15,0.0,10262,RATTC,8,2012-07-22,87110,360.0,False,True,584.0,6,7
42,10262/56,56,30.4,2,0.0,10262,RATTC,8,2012-07-22,87110,60.8,False,True,584.0,6,7
43,10263/16,16,13.9,60,0.25,10263,ERNSH,9,2012-07-23,8010,625.5,True,True,1873.7999999999997,0,7
44,10263/24,24,3.6,28,0.0,10263,ERNSH,9,2012-07-23,8010,100.8,False,True,1873.7999999999997,0,7
45,10263/30,30,20.7,60,0.25,10263,ERNSH,9,2012-07-23,8010,931.4999999999999,True,True,1873.7999999999997,0,7
46,10263/74,74,8.0,36,0.25,10263,ERNSH,9,2012-07-23,8010,216.0,True,True,1873.7999999999997,0,7
47,10264/2,2,15.2,35,0.0,10264,FOLKO,6,2012-07-24,S-844 67,532.0,False,True,695.625,1,7
48,10264/41,41,7.7,25,0.15,10264,FOLKO,6,2012-07-24,S-844 67,163.625,True,True,695.625,1,7
49,10265/17,17,31.2,30,0.0,10265,BLONP,2,2012-07-25,67000,936.0,False,False,1176.0,2,7
50,10265/70,70,12.0,20,0.0,10265,BLONP,2,2012-07-25,67000,240.0,False,False,1176.0,2,7
51,10266/12,12,30.4,12,0.05,10266,WARTH,3,2012-07-26,90110,346.56,True,True,346.56,3,7
52,10267/40,40,14.7,50,0.0,10267,FRANK,4,2012-07-29,80805,735.0,False,True,3536.6,6,7
53,10267/59,59,44.0,70,0.15,10267,FRANK,4,2012-07-29,80805,2618.0,True,True,3536.6,6,7
54,10267/76,76,14.4,15,0.15,10267,FRANK,4,2012-07-29,80805,183.6,True,True,3536.6,6,7
55,10268/29,29,99.0,10,0.0,10268,GROSR,8,2012-07-30,1081,990.0,False,False,1101.2,0,7
56,10268/72,72,27.8,4,0.0,10268,GROSR,8,2012-07-30,1081,111.2,False,False,1101.2,0,7
57,10269/33,33,2.0,60,0.05,10269,WHITC,5,2012-07-31,98124,114.0,True,True,642.2,1,7
58,10269/72,72,27.8,20,0.05,10269,WHITC,5,2012-07-31,98124,528.2,True,True,642.2,1,7
59,10270/36,36,15.2,30,0.0,10270,WARTH,1,2012-08-01,90110,456.0,False,False,1376.0,2,8
60,10270/43,43,36.8,25,0.0,10270,WARTH,1,2012-08-01,90110,919.9999999999999,False,False,1376.0,2,8
61,10271/33,33,2.0,24,0.0,10271,SPLIR,6,2012-08-01,82520,48.0,False,False,48.0,2,8
62,10272/20,20,64.8,6,0.0,10272,RATTC,6,2012-08-02,87110,388.79999999999995,False,False,1456.0,3,8
63,10272/31,31,10.0,40,0.0,10272,RATTC,6,2012-08-02,87110,400.0,False,False,1456.0,3,8
64,10272/72,72,27.8,24,0.0,10272,RATTC,6,2012-08-02,87110,667.2,False,False,1456.0,3,8
65,10273/10,10,24.8,24,0.05,10273,QUICK,3,2012-08-05,01307,565.4399999999999,True,True,2037.2799999999997,6,8
66,10273/31,31,10.0,15,0.05,10273,QUICK,3,2012-08-05,01307,142.5,True,True,2037.2799999999997,6,8
67,10273/33,33,2.0,20,0.0,10273,QUICK,3,2012-08-05,01307,40.0,False,True,2037.2799999999997,6,8
68,10273/40,40,14.7,60,0.05,10273,QUICK,3,2012-08-05,01307,837.8999999999999,True,True,2037.2799999999997,6,8
69,10273/76,76,14.4,33,0.05,10273,QUICK,3,2012-08-05,01307,451.44,True,True,2037.2799999999997,6,8
70,10274/71,71,17.2,20,0.0,10274,VINET,6,2012-08-06,51100,344.0,False,False,538.6,0,8
71,10274/72,72,27.8,7,0.0,10274,VINET,6,2012-08-06,51100,194.6,False,False,538.6,0,8
72,10275/24,24,3.6,12,0.05,10275,MAGAA,1,2012-08-07,24100,41.04,True,True,291.84,1,8
73,10275/59,59,44.0,6,0.05,10275,MAGAA,1,2012-08-07,24100,250.79999999999998,True,True,291.84,1,8
74,10276/10,10,24.8,15,0.0,10276,TORTU,8,2012-08-08,05033,372.0,False,False,420.0,2,8
75,10276/13,13,4.8,10,0.0,10276,TORTU,8,2012-08-08,05033,48.0,False,False,420.0,2,8
76,10277/28,28,36.4,20,0.0,10277,MORGK,2,2012-08-09,04179,728.0,False,False,1200.8,3,8
77,10277/62,62,39.4,12,0.0,10277,MORGK,2,2012-08-09,04179,472.79999999999995,False,False,1200.8,3,8
78,10278/44,44,15.5,16,0.0,10278,BERGS,8,2012-08-12,S-958 22,248.0,False,False,1488.8,6,8
79,10278/59,59,44.0,15,0.0,10278,BERGS,8,2012-08-12,S-958 22,660.0,False,False,1488.8,6,8
80,10278/63,63,35.1,8,0.0,10278,BERGS,8,2012-08-12,S-958 22,280.8,False,False,1488.8,6,8
81,10278/73,73,12.0,25,0.0,10278,BERGS,8,2012-08-12,S-958 22,300.0,False,False,1488.8,6,8
82,10279/17,17,31.2,15,0.25,10279,LEHMS,8,2012-08-13,60528,351.0,True,True,351.0,0,8
83,10280/24,24,3.6,12,0.0,10280,BERGS,2,2012-08-14,S-958 22,43.2,False,False,613.2,1,8
84,10280/55,55,19.2,20,0.0,10280,BERGS,2,2012-08-14,S-958 22,384.0,False,False,613.2,1,8
85,10280/75,75,6.2,30,0.0,10280,BERGS,2,2012-08-14,S-958 22,186.0,False,False,613.2,1,8
86,10281/19,19,7.3,1,0.0,10281,ROMEY,4,2012-08-14,28001,7.3,False,False,86.5,1,8
87,10281/24,24,3.6,6,0.0,10281,ROMEY,4,2012-08-14,28001,21.6,False,False,86.5,1,8
88,10281/35,35,14.4,4,0.0,10281,ROMEY,4,2012-08-14,28001,57.6,False,False,86.5,1,8
89,10282/30,30,20.7,6,0.0,10282,ROMEY,4,2012-08-15,28001,124.19999999999999,False,False,155.39999999999998,2,8
90,10282/57,57,15.6,2,0.0,10282,ROMEY,4,2012-08-15,28001,31.2,False,False,155.39999999999998,2,8
91,10283/15,15,12.4,20,0.0,10283,LILAS,3,2012-08-16,3508,248.0,False,False,1414.8000000000002,3,8
92,10283/19,19,7.3,18,0.0,10283,LILAS,3,2012-08-16,3508,131.4,False,False,1414.8000000000002,3,8
93,10283/60,60,27.2,35,0.0,10283,LILAS,3,2012-08-16,3508,952.0,False,False,1414.8000000000002,3,8
94,10283/72,72,27.8,3,0.0,10283,LILAS,3,2012-08-16,3508,83.4,False,False,1414.8000000000002,3,8
95,10284/27,27,35.1,15,0.25,10284,LEHMS,4,2012-08-19,60528,394.87500000000006,True,True,1170.375,6,8
96,10284/44,44,15.5,21,0.0,10284,LEHMS,4,2012-08-19,60528,325.5,False,True,1170.375,6,8
97,10284/60,60,27.2,20,0.25,10284,LEHMS,4,2012-08-19,60528,408.0,True,True,1170.375,6,8
98,10284/67,67,11.2,5,0.25,10284,LEHMS,4,2012-08-19,60528,41.99999999999999,True,True,1170.375,6,8
99,10285/1,1,14.4,45,0.2,10285,QUICK,1,2012-08-20,01307,518.4000000000001,True,True,1743.3600000000001,0,8
100,10285/40,40,14.7,40,0.2,10285,QUICK,1,2012-08-20,01307,470.4,True,True,1743.3600000000001,0,8
101,10285/53,53,26.2,36,0.2,10285,QUICK,1,2012-08-20,01307,754.5600000000001,True,True,1743.3600000000001,0,8
102,10286/35,35,14.4,100,0.0,10286,QUICK,8,2012-08-21,01307,1440.0,False,False,3016.0,1,8
103,10286/62,62,39.4,40,0.0,10286,QUICK,8,2012-08-21,01307,1576.0,False,False,3016.0,1,8
104,10287/16,16,13.9,40,0.15,10287,RICAR,8,2012-08-22,02389-890,472.59999999999997,True,True,818.9999999999999,2,8
105,10287/34,34,11.2,20,0.0,10287,RICAR,8,2012-08-22,02389-890,224.0,False,True,818.9999999999999,2,8
106,10287/46,46,9.6,15,0.15,10287,RICAR,8,2012-08-22,02389-890,122.4,True,True,818.9999999999999,2,8
107,10288/54,54,5.9,10,0.1,10288,REGGC,4,2012-08-23,42100,53.10000000000001,True,True,80.10000000000001,3,8
108,10288/68,68,10.0,3,0.1,10288,REGGC,4,2012-08-23,42100,27.0,True,True,80.10000000000001,3,8
109,10289/3,3,8.0,30,0.0,10289,BSBEV,7,2012-08-26,EC2 5NT,240.0,False,False,479.4,6,8
110,10289/64,64,26.6,9,0.0,10289,BSBEV,7,2012-08-26,EC2 5NT,239.4,False,False,479.4,6,8
111,10290/5,5,17.0,20,0.0,10290,COMMI,8,2012-08-27,05432-043,340.0,False,False,2169.0,0,8
112,10290/29,29,99.0,15,0.0,10290,COMMI,8,2012-08-27,05432-043,1485.0,False,False,2169.0,0,8
113,10290/49,49,16.0,15,0.0,10290,COMMI,8,2012-08-27,05432-043,240.0,False,False,2169.0,0,8
114,10290/77,77,10.4,10,0.0,10290,COMMI,8,2012-08-27,05432-043,104.0,False,False,2169.0,0,8
115,10291/13,13,4.8,20,0.1,10291,QUEDE,6,2012-08-27,02389-673,86.4,True,True,497.52000000000004,0,8
116,10291/44,44,15.5,24,0.1,10291,QUEDE,6,2012-08-27,02389-673,334.8,True,True,497.52000000000004,0,8
117,10291/51,51,42.4,2,0.1,10291,QUEDE,6,2012-08-27,02389-673,76.32,True,True,497.52000000000004,0,8
118,10292/20,20,64.8,20,0.0,10292,TRADH,1,2012-08-28,05634-030,1296.0,False,False,1296.0,1,8
119,10293/18,18,50.0,12,0.0,10293,TORTU,1,2012-08-29,05033,600.0,False,False,848.7,2,8
120,10293/24,24,3.6,10,0.0,10293,TORTU,1,2012-08-29,05033,36.0,False,False,848.7,2,8
121,10293/63,63,35.1,5,0.0,10293,TORTU,1,2012-08-29,05033,175.5,False,False,848.7,2,8
122,10293/75,75,6.2,6,0.0,10293,TORTU,1,2012-08-29,05033,37.2,False,False,848.7,2,8
123,10294/1,1,14.4,18,0.0,10294,RATTC,4,2012-08-30,87110,259.2,False,False,1887.6000000000001,3,8
124,10294/17,17,31.2,15,0.0,10294,RATTC,4,2012-08-30,87110,468.0,False,False,1887.6000000000001,3,8
125,10294/43,43,36.8,15,0.0,10294,RATTC,4,2012-08-30,87110,552.0,False,False,1887.6000000000001,3,8
126,10294/60,60,27.2,21,0.0,10294,RATTC,4,2012-08-30,87110,571.1999999999999,False,False,1887.6000000000001,3,8
127,10294/75,75,6.2,6,0.0,10294,RATTC,4,2012-08-30,87110,37.2,False,False,1887.6000000000001,3,8
128,10295/56,56,30.4,4,0.0,10295,VINET,2,2012-09-02,51100,121.6,False,False,121.6,6,9
129,10296/11,11,16.8,12,0.0,10296,LILAS,6,2012-09-03,3508,201.60000000000002,False,False,1050.6,0,9
130,10296/16,16,13.9,30,0.0,10296,LILAS,6,2012-09-03,3508,417.0,False,False,1050.6,0,9
131,10296/69,69,28.8,15,0.0,10296,LILAS,6,2012-09-03,3508,432.0,False,False,1050.6,0,9
132,10297/39,39,14.4,60,0.0,10297,BLONP,5,2012-09-04,67000,864.0,False,False,1420.0,1,9
133,10297/72,72,27.8,20,0.0,10297,BLONP,5,2012-09-04,67000,556.0,False,False,1420.0,1,9
134,10298/2,2,15.2,40,0.0,10298,HUNGO,6,2012-09-05,,608.0,False,True,2645.0,2,9
135,10298/36,36,15.2,40,0.25,10298,HUNGO,6,2012-09-05,,455.99999999999994,True,True,2645.0,2,9
136,10298/59,59,44.0,30,0.25,10298,HUNGO,6,2012-09-05,,990.0,True,True,2645.0,2,9
137,10298/62,62,39.4,15,0.0,10298,HUNGO,6,2012-09-05,,591.0,False,True,2645.0,2,9
138,10299/19,19,7.3,15,0.0,10299,RICAR,4,2012-09-06,02389-890,109.5,False,False,349.5,3,9
139,10299/70,70,12.0,20,0.0,10299,RICAR,4,2012-09-06,02389-890,240.0,False,False,349.5,3,9
140,10300/66,66,13.6,30,0.0,10300,MAGAA,2,2012-09-09,24100,408.0,False,False,608.0,6,9
141,10300/68,68,10.0,20,0.0,10300,MAGAA,2,2012-09-09,24100,200.0,False,False,608.0,6,9
142,10301/40,40,14.7,10,0.0,10301,WANDK,8,2012-09-09,70563,147.0,False,False,755.0,6,9
143,10301/56,56,30.4,20,0.0,10301,WANDK,8,2012-09-09,70563,608.0,False,False,755.0,6,9
144,10302/17,17,31.2,40,0.0,10302,SUPRD,4,2012-09-10,B-6000,1248.0,False,False,2708.7999999999997,0,9
145,10302/28,28,36.4,28,0.0,10302,SUPRD,4,2012-09-10,B-6000,1019.1999999999999,False,False,2708.7999999999997,0,9
146,10302/43,43,36.8,12,0.0,10302,SUPRD,4,2012-09-10,B-6000,441.59999999999997,False,False,2708.7999999999997,0,9
147,10303/40,40,14.7,40,0.1,10303,GODOS,7,2012-09-11,41101,529.2,True,True,1117.8000000000002,1,9
148,10303/65,65,16.8,30,0.1,10303,GODOS,7,2012-09-11,41101,453.6,True,True,1117.8000000000002,1,9
149,10303/68,68,10.0,15,0.1,10303,GODOS,7,2012-09-11,41101,135.0,True,True,1117.8000000000002,1,9
150,10304/49,49,16.0,30,0.0,10304,TORTU,1,2012-09-12,05033,480.0,False,False,954.4,2,9
151,10304/59,59,44.0,10,0.0,10304,TORTU,1,2012-09-12,05033,440.0,False,False,954.4,2,9
152,10304/71,71,17.2,2,0.0,10304,TORTU,1,2012-09-12,05033,34.4,False,False,954.4,2,9
153,10305/18,18,50.0,25,0.1,10305,OLDWO,8,2012-09-13,99508,1125.0,True,True,3741.3,3,9
154,10305/29,29,99.0,25,0.1,10305,OLDWO,8,2012-09-13,99508,2227.5,True,True,3741.3,3,9
155,10305/39,39,14.4,30,0.1,10305,OLDWO,8,2012-09-13,99508,388.8,True,True,3741.3,3,9
156,10306/30,30,20.7,10,0.0,10306,ROMEY,1,2012-09-16,28001,207.0,False,False,498.5,6,9
157,10306/53,53,26.2,10,0.0,10306,ROMEY,1,2012-09-16,28001,262.0,False,False,498.5,6,9
158,10306/54,54,5.9,5,0.0,10306,ROMEY,1,2012-09-16,28001,29.5,False,False,498.5,6,9
159,10307/62,62,39.4,10,0.0,10307,LONEP,2,2012-09-17,97219,394.0,False,False,424.0,0,9
160,10307/68,68,10.0,3,0.0,10307,LONEP,2,2012-09-17,97219,30.0,False,False,424.0,0,9
161,10308/69,69,28.8,1,0.0,10308,ANATR,7,2012-09-18,05021,28.8,False,False,88.8,1,9
162,10308/70,70,12.0,5,0.0,10308,ANATR,7,2012-09-18,05021,60.0,False,False,88.8,1,9
163,10309/4,4,17.6,20,0.0,10309,HUNGO,3,2012-09-19,,352.0,False,False,1762.0,2,9
164,10309/6,6,20.0,30,0.0,10309,HUNGO,3,2012-09-19,,600.0,False,False,1762.0,2,9
165,10309/42,42,11.2,2,0.0,10309,HUNGO,3,2012-09-19,,22.4,False,False,1762.0,2,9
166,10309/43,43,36.8,20,0.0,10309,HUNGO,3,2012-09-19,,736.0,False,False,1762.0,2,9
167,10309/71,71,17.2,3,0.0,10309,HUNGO,3,2012-09-19,,51.599999999999994,False,False,1762.0,2,9
168,10310/16,16,13.9,10,0.0,10310,THEBI,8,2012-09-20,97201,139.0,False,False,336.0,3,9
169,10310/62,62,39.4,5,0.0,10310,THEBI,8,2012-09-20,97201,197.0,False,False,336.0,3,9
170,10311/42,42,11.2,6,0.0,10311,DUMO,1,2012-09-20,44000,67.19999999999999,False,False,268.79999999999995,3,9
171,10311/69,69,28.8,7,0.0,10311,DUMO,1,2012-09-20,44000,201.6,False,False,268.79999999999995,3,9
172,10312/28,28,36.4,4,0.0,10312,WANDK,2,2012-09-23,70563,145.6,False,False,1614.8,6,9
173,10312/43,43,36.8,24,0.0,10312,WANDK,2,2012-09-23,70563,883.1999999999999,False,False,1614.8,6,9
174,10312/53,53,26.2,20,0.0,10312,WANDK,2,2012-09-23,70563,524.0,False,False,1614.8,6,9
175,10312/75,75,6.2,10,0.0,10312,WANDK,2,2012-09-23,70563,62.0,False,False,1614.8,6,9
176,10313/36,36,15.2,12,0.0,10313,QUICK,2,2012-09-24,01307,182.39999999999998,False,False,182.39999999999998,0,9
177,10314/32,32,25.6,40,0.1,10314,RATTC,1,2012-09-25,87110,921.6000000000001,True,True,2094.3,1,9
178,10314/58,58,10.6,30,0.1,10314,RATTC,1,2012-09-25,87110,286.2,True,True,2094.3,1,9
179,10314/62,62,39.4,25,0.1,10314,RATTC,1,2012-09-25,87110,886.5,True,True,2094.3,1,9
180,10315/34,34,11.2,14,0.0,10315,ISLAT,4,2012-09-26,PO31 7PJ,156.79999999999998,False,False,516.8,2,9
181,10315/70,70,12.0,30,0.0,10315,ISLAT,4,2012-09-26,PO31 7PJ,360.0,False,False,516.8,2,9
182,10316/41,41,7.7,10,0.0,10316,RATTC,1,2012-09-27,87110,77.0,False,False,2835.0,3,9
183,10316/62,62,39.4,70,0.0,10316,RATTC,1,2012-09-27,87110,2758.0,False,False,2835.0,3,9
184,10317/1,1,14.4,20,0.0,10317,LONEP,6,2012-09-30,97219,288.0,False,False,288.0,6,9
185,10318/41,41,7.7,20,0.0,10318,ISLAT,8,2012-10-01,PO31 7PJ,154.0,False,False,240.4,0,10
186,10318/76,76,14.4,6,0.0,10318,ISLAT,8,2012-10-01,PO31 7PJ,86.4,False,False,240.4,0,10
187,10319/17,17,31.2,8,0.0,10319,TORTU,7,2012-10-02,05033,249.6,False,False,1191.1999999999998,1,10
188,10319/28,28,36.4,14,0.0,10319,TORTU,7,2012-10-02,05033,509.59999999999997,False,False,1191.1999999999998,1,10
189,10319/76,76,14.4,30,0.0,10319,TORTU,7,2012-10-02,05033,432.0,False,False,1191.1999999999998,1,10
190,10320/71,71,17.2,30,0.0,10320,WARTH,5,2012-10-03,90110,516.0,False,False,516.0,2,10
191,10321/35,35,14.4,10,0.0,10321,ISLAT,3,2012-10-03,PO31 7PJ,144.0,False,False,144.0,2,10
192,10322/52,52,5.6,20,0.0,10322,PERIC,7,2012-10-04,05033,112.0,False,False,112.0,3,10
193,10323/15,15,12.4,5,0.0,10323,KOENE,4,2012-10-07,14776,62.0,False,False,164.4,6,10
194,10323/25,25,11.2,4,0.0,10323,KOENE,4,2012-10-07,14776,44.8,False,False,164.4,6,10
195,10323/39,39,14.4,4,0.0,10323,KOENE,4,2012-10-07,14776,57.6,False,False,164.4,6,10
196,10324/16,16,13.9,21,0.15,10324,SAVEA,9,2012-10-08,83720,248.11499999999998,True,True,5275.715,0,10
197,10324/35,35,14.4,70,0.15,10324,SAVEA,9,2012-10-08,83720,856.8000000000001,True,True,5275.715,0,10
198,10324/46,46,9.6,30,0.0,10324,SAVEA,9,2012-10-08,83720,288.0,False,True,5275.715,0,10
199,10324/59,59,44.0,40,0.15,10324,SAVEA,9,2012-10-08,83720,1496.0,True,True,5275.715,0,10
200,10324/63,63,35.1,80,0.15,10324,SAVEA,9,2012-10-08,83720,2386.8,True,True,5275.715,0,10
201,10325/6,6,20.0,6,0.0,10325,KOENE,1,2012-10-09,14776,120.0,False,False,1497.0,1,10
202,10325/13,13,4.8,12,0.0,10325,KOENE,1,2012-10-09,14776,57.599999999999994,False,False,1497.0,1,10
203,10325/14,14,18.6,9,0.0,10325,KOENE,1,2012-10-09,14776,167.4,False,False,1497.0,1,10
204,10325/31,31,10.0,4,0.0,10325,KOENE,1,2012-10-09,14776,40.0,False,False,1497.0,1,10
205,10325/72,72,27.8,40,0.0,10325,KOENE,1,2012-10-09,14776,1112.0,False,False,1497.0,1,10
206,10326/4,4,17.6,24,0.0,10326,BOLID,4,2012-10-10,28023,422.40000000000003,False,False,982.0,2,10
207,10326/57,57,15.6,16,0.0,10326,BOLID,4,2012-10-10,28023,249.6,False,False,982.0,2,10
208,10326/75,75,6.2,50,0.0,10326,BOLID,4,2012-10-10,28023,310.0,False,False,982.0,2,10
209,10327/2,2,15.2,25,0.2,10327,FOLKO,2,2012-10-11,S-844 67,304.0,True,True,1810.0,3,10
210,10327/11,11,16.8,50,0.2,10327,FOLKO,2,2012-10-11,S-844 67,672.0000000000001,True,True,1810.0,3,10
211,10327/30,30,20.7,35,0.2,10327,FOLKO,2,2012-10-11,S-844 67,579.5999999999999,True,True,1810.0,3,10
212,10327/58,58,10.6,30,0.2,10327,FOLKO,2,2012-10-11,S-844 67,254.4,True,True,1810.0,3,10
213,10328/59,59,44.0,9,0.0,10328,FURIB,4,2012-10-14,1675,396.0,False,False,1168.0,6,10
214,10328/65,65,16.8,40,0.0,10328,FURIB,4,2012-10-14,1675,672.0,False,False,1168.0,6,10
215,10328/68,68,10.0,10,0.0,10328,FURIB,4,2012-10-14,1675,100.0,False,False,1168.0,6,10
216,10329/19,19,7.3,10,0.05,10329,SPLIR,4,2012-10-15,82520,69.35,True,True,4578.43,0,10
217,10329/30,30,20.7,8,0.05,10329,SPLIR,4,2012-10-15,82520,157.32,True,True,4578.43,0,10
218,10329/38,38,210.8,20,0.05,10329,SPLIR,4,2012-10-15,82520,4005.2,True,True,4578.43,0,10
219,10329/56,56,30.4,12,0.05,10329,SPLIR,4,2012-10-15,82520,346.56,True,True,4578.43,0,10
220,10330/26,26,24.9,50,0.15,10330,LILAS,3,2012-10-16,3508,1058.25,True,True,1649.0,1,10
221,10330/72,72,27.8,25,0.15,10330,LILAS,3,2012-10-16,3508,590.75,True,True,1649.0,1,10
222,10331/54,54,5.9,15,0.0,10331,BONAP,9,2012-10-16,13008,88.5,False,False,88.5,1,10
223,10332/18,18,50.0,40,0.2,10332,MEREP,3,2012-10-17,H1J 1C3,1600.0,True,True,1786.8799999999999,2,10
224,10332/42,42,11.2,10,0.2,10332,MEREP,3,2012-10-17,H1J 1C3,89.6,True,True,1786.8799999999999,2,10
225,10332/47,47,7.6,16,0.2,10332,MEREP,3,2012-10-17,H1J 1C3,97.28,True,True,1786.8799999999999,2,10
226,10333/14,14,18.6,10,0.0,10333,WARTH,5,2012-10-18,90110,186.0,False,True,877.2,3,10
227,10333/21,21,8.0,10,0.1,10333,WARTH,5,2012-10-18,90110,72.0,True,True,877.2,3,10
228,10333/71,71,17.2,40,0.1,10333,WARTH,5,2012-10-18,90110,619.2,True,True,877.2,3,10
229,10334/52,52,5.6,8,0.0,10334,VICTE,8,2012-10-21,69004,44.8,False,False,144.8,6,10
230,10334/68,68,10.0,10,0.0,10334,VICTE,8,2012-10-21,69004,100.0,False,False,144.8,6,10
231,10335/2,2,15.2,7,0.2,10335,HUNGO,7,2012-10-22,,85.12,True,True,2036.16,0,10
232,10335/31,31,10.0,25,0.2,10335,HUNGO,7,2012-10-22,,200.0,True,True,2036.16,0,10
233,10335/32,32,25.6,6,0.2,10335,HUNGO,7,2012-10-22,,122.88000000000002,True,True,2036.16,0,10
234,10335/51,51,42.4,48,0.2,10335,HUNGO,7,2012-10-22,,1628.16,True,True,2036.16,0,10
235,10336/4,4,17.6,18,0.1,10336,PRINI,7,2012-10-23,1756,285.12,True,True,285.12,1,10
236,10337/23,23,7.2,40,0.0,10337,FRANK,4,2012-10-24,80805,288.0,False,False,2467.0,2,10
