Product Cost,Discount (hypothesis 1 to plot (2).csv),Discount,Id (hypothesis 1 to plot (2).csv),Id,Number of Records,On Sale,OrderDate,OrderId (hypothesis 1 to plot (2).csv),Order Id,ProductId (hypothesis 1 to plot (2).csv),Product Id,Quantity (hypothesis 1 to plot (2).csv),Quantity,ShipAddress,ShipCity,ShipCountry,ShipName,ShipPostalCode,ShipRegion,ShippedDate,UnitPrice (hypothesis 1 to plot (2).csv),Unit Price,Discounted Order,Order Total,Price
47.5,0.05,0.05,10252/33,10252/33,1,1,7/9/2012,10252,10252,33,33,25,25,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,7/11/2012,2,2,1,3597.9,47.5
1088,0,0,10252/60,10252/60,1,0,7/9/2012,10252,10252,60,60,40,40,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,7/11/2012,27.2,27.2,1,3597.9,1088
200,0,0,10253/31,10253/31,1,0,7/10/2012,10253,10253,31,31,20,20,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,7/16/2012,10,10,0,1444.8,200
604.8,0,0,10253/39,10253/39,1,0,7/10/2012,10253,10253,39,39,42,42,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,7/16/2012,14.4,14.4,0,1444.8,604.8
640,0,0,10253/49,10253/49,1,0,7/10/2012,10253,10253,49,49,40,40,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,7/16/2012,16,16,0,1444.8,640
45.9,0.15,0.15,10254/24,10254/24,1,1,7/11/2012,10254,10254,24,24,15,15,Hauptstr. 31,Bern,Switzerland,Chop-suey Chinese,3012,Western Europe,7/23/2012,3.6,3.6,1,556.62,45.9
342.72,0.15,0.15,10254/55,10254/55,1,1,7/11/2012,10254,10254,55,55,21,21,Hauptstr. 31,Bern,Switzerland,Chop-suey Chinese,3012,Western Europe,7/23/2012,19.2,19.2,1,556.62,342.72
168,0,0,10254/74,10254/74,1,0,7/11/2012,10254,10254,74,74,21,21,Hauptstr. 31,Bern,Switzerland,Chop-suey Chinese,3012,Western Europe,7/23/2012,8,8,1,556.62,168
304,0,0,10255/2,10255/2,1,0,7/12/2012,10255,10255,2,2,20,20,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,Western Europe,7/15/2012,15.2,15.2,0,2490.5,304
486.5,0,0,10255/16,10255/16,1,0,7/12/2012,10255,10255,16,16,35,35,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,Western Europe,7/15/2012,13.9,13.9,0,2490.5,486.5
380,0,0,10255/36,10255/36,1,0,7/12/2012,10255,10255,36,36,25,25,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,Western Europe,7/15/2012,15.2,15.2,0,2490.5,380
1320,0,0,10255/59,10255/59,1,0,7/12/2012,10255,10255,59,59,30,30,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,Western Europe,7/15/2012,44,44,0,2490.5,1320
393,0,0,10256/53,10256/53,1,0,7/15/2012,10256,10256,53,53,15,15,"Rua do Mercado, 12",Resende,Brazil,Wellington Importadora,08737-363,South America,7/17/2012,26.2,26.2,0,517.8,393
124.8,0,0,10256/77,10256/77,1,0,7/15/2012,10256,10256,77,77,12,12,"Rua do Mercado, 12",Resende,Brazil,Wellington Importadora,08737-363,South America,7/17/2012,10.4,10.4,0,517.8,124.8
877.5,0,0,10257/27,10257/27,1,0,7/16/2012,10257,10257,27,27,25,25,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,HILARION-Abastos,5022,South America,7/22/2012,35.1,35.1,0,1119.9,877.5
86.4,0,0,10257/39,10257/39,1,0,7/16/2012,10257,10257,39,39,6,6,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,HILARION-Abastos,5022,South America,7/22/2012,14.4,14.4,0,1119.9,86.4
156,0,0,10257/77,10257/77,1,0,7/16/2012,10257,10257,77,77,15,15,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,HILARION-Abastos,5022,South America,7/22/2012,10.4,10.4,0,1119.9,156
608,0.2,0.2,10258/2,10258/2,1,1,7/17/2012,10258,10258,2,2,50,50,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,7/23/2012,15.2,15.2,1,1614.88,608
884,0.2,0.2,10258/5,10258/5,1,1,7/17/2012,10258,10258,5,5,65,65,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,7/23/2012,17,17,1,1614.88,884
122.88,0.2,0.2,10258/32,10258/32,1,1,7/17/2012,10258,10258,32,32,6,6,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,7/23/2012,25.6,25.6,1,1614.88,122.88
80,0,0,10259/21,10259/21,1,0,7/18/2012,10259,10259,21,21,10,10,Sierras de Granada 9993,México D.F.,Mexico,Centro comercial Moctezuma,05022,Central America,7/25/2012,8,8,0,100.8,80
20.8,0,0,10259/37,10259/37,1,0,7/18/2012,10259,10259,37,37,1,1,Sierras de Granada 9993,México D.F.,Mexico,Centro comercial Moctezuma,05022,Central America,7/25/2012,20.8,20.8,0,100.8,20.8
92.4,0.25,0.25,10260/41,10260/41,1,1,7/19/2012,10260,10260,41,41,16,16,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,Western Europe,7/29/2012,7.7,7.7,1,1504.65,92.4
780,0,0,10260/57,10260/57,1,0,7/19/2012,10260,10260,57,57,50,50,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,Western Europe,7/29/2012,15.6,15.6,1,1504.65,780
443.25,0.25,0.25,10260/62,10260/62,1,1,7/19/2012,10260,10260,62,62,15,15,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,Western Europe,7/29/2012,39.4,39.4,1,1504.65,443.25
189,0.25,0.25,10260/70,10260/70,1,1,7/19/2012,10260,10260,70,70,21,21,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,Western Europe,7/29/2012,12,12,1,1504.65,189
160,0,0,10261/21,10261/21,1,0,7/19/2012,10261,10261,21,21,20,20,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,7/30/2012,8,8,0,448,160
288,0,0,10261/35,10261/35,1,0,7/19/2012,10261,10261,35,35,20,20,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,7/30/2012,14.4,14.4,0,448,288
163.2,0.2,0.2,10262/5,10262/5,1,1,7/22/2012,10262,10262,5,5,12,12,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,7/25/2012,17,17,1,584,163.2
360,0,0,10262/7,10262/7,1,0,7/22/2012,10262,10262,7,7,15,15,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,7/25/2012,24,24,1,584,360
60.8,0,0,10262/56,10262/56,1,0,7/22/2012,10262,10262,56,56,2,2,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,7/25/2012,30.4,30.4,1,584,60.8
625.5,0.25,0.25,10263/16,10263/16,1,1,7/23/2012,10263,10263,16,16,60,60,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,7/31/2012,13.9,13.9,1,1873.8,625.5
100.8,0,0,10263/24,10263/24,1,0,7/23/2012,10263,10263,24,24,28,28,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,7/31/2012,3.6,3.6,1,1873.8,100.8
931.5,0.25,0.25,10263/30,10263/30,1,1,7/23/2012,10263,10263,30,30,60,60,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,7/31/2012,20.7,20.7,1,1873.8,931.5
216,0.25,0.25,10263/74,10263/74,1,1,7/23/2012,10263,10263,74,74,36,36,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,7/31/2012,8,8,1,1873.8,216
532,0,0,10264/2,10264/2,1,0,7/24/2012,10264,10264,2,2,35,35,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,Northern Europe,8/23/2012,15.2,15.2,1,695.625,532
163.625,0.15,0.15,10264/41,10264/41,1,1,7/24/2012,10264,10264,41,41,25,25,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,Northern Europe,8/23/2012,7.7,7.7,1,695.625,163.625
936,0,0,10265/17,10265/17,1,0,7/25/2012,10265,10265,17,17,30,30,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,8/12/2012,31.2,31.2,0,1176,936
240,0,0,10265/70,10265/70,1,0,7/25/2012,10265,10265,70,70,20,20,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,8/12/2012,12,12,0,1176,240
346.56,0.05,0.05,10266/12,10266/12,1,1,7/26/2012,10266,10266,12,12,12,12,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,7/31/2012,30.4,30.4,1,346.56,346.56
735,0,0,10267/40,10267/40,1,0,7/29/2012,10267,10267,40,40,50,50,Berliner Platz 43,München,Germany,Frankenversand,80805,Western Europe,8/6/2012,14.7,14.7,1,3536.6,735
2618,0.15,0.15,10267/59,10267/59,1,1,7/29/2012,10267,10267,59,59,70,70,Berliner Platz 43,München,Germany,Frankenversand,80805,Western Europe,8/6/2012,44,44,1,3536.6,2618
183.6,0.15,0.15,10267/76,10267/76,1,1,7/29/2012,10267,10267,76,76,15,15,Berliner Platz 43,München,Germany,Frankenversand,80805,Western Europe,8/6/2012,14.4,14.4,1,3536.6,183.6
990,0,0,10268/29,10268/29,1,0,7/30/2012,10268,10268,29,29,10,10,5ª Ave. Los Palos Grandes,Caracas,Venezuela,GROSELLA-Restaurante,1081,South America,8/2/2012,99,99,0,1101.2,990
111.2,0,0,10268/72,10268/72,1,0,7/30/2012,10268,10268,72,72,4,4,5ª Ave. Los Palos Grandes,Caracas,Venezuela,GROSELLA-Restaurante,1081,South America,8/2/2012,27.8,27.8,0,1101.2,111.2
114,0.05,0.05,10269/33,10269/33,1,1,7/31/2012,10269,10269,33,33,60,60,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,North America,8/9/2012,2,2,1,642.2,114
528.2,0.05,0.05,10269/72,10269/72,1,1,7/31/2012,10269,10269,72,72,20,20,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,North America,8/9/2012,27.8,27.8,1,642.2,528.2
456,0,0,10270/36,10270/36,1,0,8/1/2012,10270,10270,36,36,30,30,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,8/2/2012,15.2,15.2,0,1376,456
920,0,0,10270/43,10270/43,1,0,8/1/2012,10270,10270,43,43,25,25,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,8/2/2012,36.8,36.8,0,1376,920
48,0,0,10271/33,10271/33,1,0,8/1/2012,10271,10271,33,33,24,24,P.O. Box 555,Lander,USA,Split Rail Beer & Ale,82520,North America,8/30/2012,2,2,0,48,48
388.8,0,0,10272/20,10272/20,1,0,8/2/2012,10272,10272,20,20,6,6,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,8/6/2012,64.8,64.8,0,1456,388.8
400,0,0,10272/31,10272/31,1,0,8/2/2012,10272,10272,31,31,40,40,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,8/6/2012,10,10,0,1456,400
667.2,0,0,10272/72,10272/72,1,0,8/2/2012,10272,10272,72,72,24,24,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,8/6/2012,27.8,27.8,0,1456,667.2
565.44,0.05,0.05,10273/10,10273/10,1,1,8/5/2012,10273,10273,10,10,24,24,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/12/2012,24.8,24.8,1,2037.28,565.44
142.5,0.05,0.05,10273/31,10273/31,1,1,8/5/2012,10273,10273,31,31,15,15,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/12/2012,10,10,1,2037.28,142.5
40,0,0,10273/33,10273/33,1,0,8/5/2012,10273,10273,33,33,20,20,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/12/2012,2,2,1,2037.28,40
837.9,0.05,0.05,10273/40,10273/40,1,1,8/5/2012,10273,10273,40,40,60,60,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/12/2012,14.7,14.7,1,2037.28,837.9
451.44,0.05,0.05,10273/76,10273/76,1,1,8/5/2012,10273,10273,76,76,33,33,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/12/2012,14.4,14.4,1,2037.28,451.44
344,0,0,10274/71,10274/71,1,0,8/6/2012,10274,10274,71,71,20,20,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,8/16/2012,17.2,17.2,0,538.6,344
194.6,0,0,10274/72,10274/72,1,0,8/6/2012,10274,10274,72,72,7,7,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,8/16/2012,27.8,27.8,0,538.6,194.6
41.04,0.05,0.05,10275/24,10275/24,1,1,8/7/2012,10275,10275,24,24,12,12,Via Ludovico il Moro 22,Bergamo,Italy,Magazzini Alimentari Riuniti,24100,Southern Europe,8/9/2012,3.6,3.6,1,291.84,41.04
250.8,0.05,0.05,10275/59,10275/59,1,1,8/7/2012,10275,10275,59,59,6,6,Via Ludovico il Moro 22,Bergamo,Italy,Magazzini Alimentari Riuniti,24100,Southern Europe,8/9/2012,44,44,1,291.84,250.8
372,0,0,10276/10,10276/10,1,0,8/8/2012,10276,10276,10,10,15,15,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,8/14/2012,24.8,24.8,0,420,372
48,0,0,10276/13,10276/13,1,0,8/8/2012,10276,10276,13,13,10,10,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,8/14/2012,4.8,4.8,0,420,48
728,0,0,10277/28,10277/28,1,0,8/9/2012,10277,10277,28,28,20,20,Heerstr. 22,Leipzig,Germany,Morgenstern Gesundkost,04179,Western Europe,8/13/2012,36.4,36.4,0,1200.8,728
472.8,0,0,10277/62,10277/62,1,0,8/9/2012,10277,10277,62,62,12,12,Heerstr. 22,Leipzig,Germany,Morgenstern Gesundkost,04179,Western Europe,8/13/2012,39.4,39.4,0,1200.8,472.8
248,0,0,10278/44,10278/44,1,0,8/12/2012,10278,10278,44,44,16,16,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,8/16/2012,15.5,15.5,0,1488.8,248
660,0,0,10278/59,10278/59,1,0,8/12/2012,10278,10278,59,59,15,15,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,8/16/2012,44,44,0,1488.8,660
280.8,0,0,10278/63,10278/63,1,0,8/12/2012,10278,10278,63,63,8,8,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,8/16/2012,35.1,35.1,0,1488.8,280.8
300,0,0,10278/73,10278/73,1,0,8/12/2012,10278,10278,73,73,25,25,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,8/16/2012,12,12,0,1488.8,300
351,0.25,0.25,10279/17,10279/17,1,1,8/13/2012,10279,10279,17,17,15,15,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,8/16/2012,31.2,31.2,1,351,351
43.2,0,0,10280/24,10280/24,1,0,8/14/2012,10280,10280,24,24,12,12,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,9/12/2012,3.6,3.6,0,613.2,43.2
384,0,0,10280/55,10280/55,1,0,8/14/2012,10280,10280,55,55,20,20,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,9/12/2012,19.2,19.2,0,613.2,384
186,0,0,10280/75,10280/75,1,0,8/14/2012,10280,10280,75,75,30,30,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,9/12/2012,6.2,6.2,0,613.2,186
7.3,0,0,10281/19,10281/19,1,0,8/14/2012,10281,10281,19,19,1,1,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,8/21/2012,7.3,7.3,0,86.5,7.3
21.6,0,0,10281/24,10281/24,1,0,8/14/2012,10281,10281,24,24,6,6,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,8/21/2012,3.6,3.6,0,86.5,21.6
57.6,0,0,10281/35,10281/35,1,0,8/14/2012,10281,10281,35,35,4,4,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,8/21/2012,14.4,14.4,0,86.5,57.6
124.2,0,0,10282/30,10282/30,1,0,8/15/2012,10282,10282,30,30,6,6,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,8/21/2012,20.7,20.7,0,155.4,124.2
31.2,0,0,10282/57,10282/57,1,0,8/15/2012,10282,10282,57,57,2,2,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,8/21/2012,15.6,15.6,0,155.4,31.2
248,0,0,10283/15,10283/15,1,0,8/16/2012,10283,10283,15,15,20,20,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,8/23/2012,12.4,12.4,0,1414.8,248
131.4,0,0,10283/19,10283/19,1,0,8/16/2012,10283,10283,19,19,18,18,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,8/23/2012,7.3,7.3,0,1414.8,131.4
952,0,0,10283/60,10283/60,1,0,8/16/2012,10283,10283,60,60,35,35,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,8/23/2012,27.2,27.2,0,1414.8,952
83.4,0,0,10283/72,10283/72,1,0,8/16/2012,10283,10283,72,72,3,3,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,8/23/2012,27.8,27.8,0,1414.8,83.4
394.875,0.25,0.25,10284/27,10284/27,1,1,8/19/2012,10284,10284,27,27,15,15,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,8/27/2012,35.1,35.1,1,1170.375,394.875
325.5,0,0,10284/44,10284/44,1,0,8/19/2012,10284,10284,44,44,21,21,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,8/27/2012,15.5,15.5,1,1170.375,325.5
408,0.25,0.25,10284/60,10284/60,1,1,8/19/2012,10284,10284,60,60,20,20,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,8/27/2012,27.2,27.2,1,1170.375,408
42,0.25,0.25,10284/67,10284/67,1,1,8/19/2012,10284,10284,67,67,5,5,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,8/27/2012,11.2,11.2,1,1170.375,42
518.4,0.2,0.2,10285/1,10285/1,1,1,8/20/2012,10285,10285,1,1,45,45,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/26/2012,14.4,14.4,1,1743.36,518.4
470.4,0.2,0.2,10285/40,10285/40,1,1,8/20/2012,10285,10285,40,40,40,40,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/26/2012,14.7,14.7,1,1743.36,470.4
754.56,0.2,0.2,10285/53,10285/53,1,1,8/20/2012,10285,10285,53,53,36,36,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/26/2012,26.2,26.2,1,1743.36,754.56
1440,0,0,10286/35,10286/35,1,0,8/21/2012,10286,10286,35,35,100,100,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/30/2012,14.4,14.4,0,3016,1440
1576,0,0,10286/62,10286/62,1,0,8/21/2012,10286,10286,62,62,40,40,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,8/30/2012,39.4,39.4,0,3016,1576
472.6,0.15,0.15,10287/16,10287/16,1,1,8/22/2012,10287,10287,16,16,40,40,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,8/28/2012,13.9,13.9,1,819,472.6
224,0,0,10287/34,10287/34,1,0,8/22/2012,10287,10287,34,34,20,20,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,8/28/2012,11.2,11.2,1,819,224
122.4,0.15,0.15,10287/46,10287/46,1,1,8/22/2012,10287,10287,46,46,15,15,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,8/28/2012,9.6,9.6,1,819,122.4
53.1,0.1,0.1,10288/54,10288/54,1,1,8/23/2012,10288,10288,54,54,10,10,Strada Provinciale 124,Reggio Emilia,Italy,Reggiani Caseifici,42100,Southern Europe,9/3/2012,5.9,5.9,1,80.1,53.1
27,0.1,0.1,10288/68,10288/68,1,1,8/23/2012,10288,10288,68,68,3,3,Strada Provinciale 124,Reggio Emilia,Italy,Reggiani Caseifici,42100,Southern Europe,9/3/2012,10,10,1,80.1,27
240,0,0,10289/3,10289/3,1,0,8/26/2012,10289,10289,3,3,30,30,Fauntleroy Circus,London,UK,B's Beverages,EC2 5NT,British Isles,8/28/2012,8,8,0,479.4,240
239.4,0,0,10289/64,10289/64,1,0,8/26/2012,10289,10289,64,64,9,9,Fauntleroy Circus,London,UK,B's Beverages,EC2 5NT,British Isles,8/28/2012,26.6,26.6,0,479.4,239.4
340,0,0,10290/5,10290/5,1,0,8/27/2012,10290,10290,5,5,20,20,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,9/3/2012,17,17,0,2169,340
1485,0,0,10290/29,10290/29,1,0,8/27/2012,10290,10290,29,29,15,15,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,9/3/2012,99,99,0,2169,1485
240,0,0,10290/49,10290/49,1,0,8/27/2012,10290,10290,49,49,15,15,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,9/3/2012,16,16,0,2169,240
104,0,0,10290/77,10290/77,1,0,8/27/2012,10290,10290,77,77,10,10,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,9/3/2012,10.4,10.4,0,2169,104
86.4,0.1,0.1,10291/13,10291/13,1,1,8/27/2012,10291,10291,13,13,20,20,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,9/4/2012,4.8,4.8,1,497.52,86.4
334.8,0.1,0.1,10291/44,10291/44,1,1,8/27/2012,10291,10291,44,44,24,24,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,9/4/2012,15.5,15.5,1,497.52,334.8
76.32,0.1,0.1,10291/51,10291/51,1,1,8/27/2012,10291,10291,51,51,2,2,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,9/4/2012,42.4,42.4,1,497.52,76.32
1296,0,0,10292/20,10292/20,1,0,8/28/2012,10292,10292,20,20,20,20,"Av. Inês de Castro, 414",Sao Paulo,Brazil,Tradiçao Hipermercados,05634-030,South America,9/2/2012,64.8,64.8,0,1296,1296
600,0,0,10293/18,10293/18,1,0,8/29/2012,10293,10293,18,18,12,12,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,9/11/2012,50,50,0,848.7,600
36,0,0,10293/24,10293/24,1,0,8/29/2012,10293,10293,24,24,10,10,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,9/11/2012,3.6,3.6,0,848.7,36
175.5,0,0,10293/63,10293/63,1,0,8/29/2012,10293,10293,63,63,5,5,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,9/11/2012,35.1,35.1,0,848.7,175.5
37.2,0,0,10293/75,10293/75,1,0,8/29/2012,10293,10293,75,75,6,6,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,9/11/2012,6.2,6.2,0,848.7,37.2
259.2,0,0,10294/1,10294/1,1,0,8/30/2012,10294,10294,1,1,18,18,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,9/5/2012,14.4,14.4,0,1887.6,259.2
