,Group1,Group2,Meandiff,Lower,Upper,Reject
94,Denmark,Italy,-1251.2814,-3155.8782,653.3154,False
95,Denmark,Mexico,-972.2842,-2876.881,932.3126,False
96,Denmark,Norway,-858.6429,-3830.5358,2113.2499,False
97,Denmark,Poland,-1309.937,-4118.1117,1498.2378,False
98,Denmark,Portugal,-932.0118,-3226.64,1362.6163,False
99,Denmark,Spain,-1032.623,-3016.575,951.329,False
100,Denmark,Sweden,-341.6596,-2153.3486,1470.0293,False
101,Denmark,Switzerland,-53.798,-2155.2436,2047.6476,False
102,Denmark,UK,-761.4421,-2469.5882,946.7039,False
103,Denmark,USA,198.4874,-1393.3081,1790.2828,False
104,Denmark,Venezuela,-579.4876,-2332.2144,1173.2392,False
105,Finland,France,201.5992,-1322.4546,1725.653,False
106,Finland,Germany,1032.5766,-427.6807,2492.8339,False
107,Finland,Ireland,1775.5189,-198.9177,3749.9555,False
108,Finland,Italy,-291.7826,-2087.8972,1504.3321,False
109,Finland,Mexico,-12.7853,-1808.9,1783.3293,False
110,Finland,Norway,100.8559,-2802.7084,3004.4203,False
111,Finland,Poland,-350.4381,-3086.1984,2385.3222,False
112,Finland,Portugal,27.487,-2177.9284,2232.9025,False
113,Finland,Spain,-73.1241,-1953.1785,1806.9302,False
114,Finland,Sweden,617.8392,-1079.4396,2315.1181,False
115,Finland,Switzerland,905.7009,-1097.9489,2909.3506,False
116,Finland,UK,198.0567,-1388.2288,1784.3422,False
117,Finland,USA,1157.9862,-302.2711,2618.2435,False
118,Finland,Venezuela,380.0113,-1254.1827,2014.2053,False
119,France,Germany,830.9774,-86.5957,1748.5505,False
120,France,Ireland,1573.9197,-41.0071,3188.8466,False
121,France,Italy,-493.3818,-1884.6462,897.8826,False
122,France,Mexico,-214.3845,-1605.6489,1176.8799,False
123,France,Norway,-100.7433,-2772.8725,2571.386,False
124,France,Poland,-552.0373,-3040.8067,1936.7321,False
125,France,Portugal,-174.1122,-2064.4682,1716.2439,False
126,France,Spain,-274.7233,-1772.7865,1223.3398,False
127,France,Sweden,416.24,-844.8486,1677.3286,False
128,France,Switzerland,704.1017,-946.4137,2354.6171,False
129,France,UK,-3.5425,-1110.7419,1103.6569,False
130,France,USA,956.387,38.8139,1873.9601,True
131,France,Venezuela,178.4121,-996.398,1353.2222,False
132,Germany,Ireland,742.9424,-811.9211,2297.8058,False
133,Germany,Italy,-1324.3591,-2645.43,-3.2883,True
134,Germany,Mexico,-1045.3619,-2366.4327,275.7089,False
135,Germany,Norway,-931.7206,-3567.9843,1704.5431,False
136,Germany,Poland,-1383.0147,-3833.236,1067.2067,False
137,Germany,Portugal,-1005.0895,-2844.3985,834.2195,False
138,Germany,Spain,-1105.7007,-2538.8108,327.4094,False
139,Germany,Sweden,-414.7373,-1597.9347,768.46,False
140,Germany,Switzerland,-126.8757,-1718.6711,1464.9197,False
141,Germany,UK,-834.5199,-1852.1161,183.0763,False
142,Germany,USA,125.4096,-681.778,932.5973,False
143,Germany,Venezuela,-652.5653,-1743.3404,438.2098,False
144,Ireland,Italy,-2067.3015,-3941.1415,-193.4615,True
145,Ireland,Mexico,-1788.3043,-3662.1443,85.5358,False
146,Ireland,Norway,-1674.663,-4626.9392,1277.6132,False
147,Ireland,Poland,-2125.957,-4913.3632,661.4491,False
148,Ireland,Portugal,-1748.0319,-4017.1961,521.1323,False
149,Ireland,Spain,-1848.6431,-3803.0875,105.8014,False
150,Ireland,Sweden,-1157.6797,-2937.0066,621.6472,False
151,Ireland,Switzerland,-869.818,-2943.4287,1203.7926,False
152,Ireland,UK,-1577.4622,-3251.2455,96.3211,False
153,Ireland,USA,-617.5327,-2172.3961,937.3307,False
154,Ireland,Venezuela,-1395.5076,-3114.7629,323.7476,False
155,Italy,Mexico,278.9972,-1405.9076,1963.9021,False
156,Italy,Norway,392.6385,-2443.479,3228.756,False
157,Italy,Poland,-58.6555,-2722.724,2605.413,False
158,Italy,Portugal,319.2696,-1796.5598,2435.099,False
159,Italy,Spain,218.6584,-1555.4557,1992.7726,False
160,Italy,Sweden,909.6218,-669.5021,2488.7457,False
161,Italy,Switzerland,1197.4835,-707.1133,3102.0803,False
162,Italy,UK,489.8393,-969.3311,1949.0097,False
163,Italy,USA,1449.7688,128.698,2770.8396,True
164,Italy,Venezuela,671.7939,-839.3205,2182.9082,False
165,Mexico,Norway,113.6413,-2722.4762,2949.7588,False
166,Mexico,Poland,-337.6528,-3001.7213,2326.4157,False
167,Mexico,Portugal,40.2724,-2075.557,2156.1017,False
168,Mexico,Spain,-60.3388,-1834.4529,1713.7753,False
169,Mexico,Sweden,630.6246,-948.4993,2209.7485,False
170,Mexico,Switzerland,918.4862,-986.1106,2823.083,False
171,Mexico,UK,210.8421,-1248.3284,1670.0125,False
172,Mexico,USA,1170.7716,-150.2993,2491.8424,False
173,Mexico,Venezuela,392.7966,-1118.3177,1903.911,False
174,Norway,Poland,-451.294,-3958.7032,3056.1151,False
175,Norway,Portugal,-73.3689,-3184.8624,3038.1246,False
176,Norway,Spain,-173.9801,-3063.9868,2716.0267,False
177,Norway,Sweden,516.9833,-2257.596,3291.5626,False
178,Norway,Switzerland,804.8449,-2167.0479,3776.7378,False
179,Norway,UK,97.2008,-2610.9049,2805.3065,False
180,Norway,USA,1057.1303,-1579.1334,3693.394,False
181,Norway,Venezuela,279.1553,-2457.2885,3015.5991,False
182,Poland,Portugal,377.9251,-2577.5935,3333.4438,False
183,Poland,Spain,277.314,-2444.0529,2998.6808,False
184,Poland,Sweden,968.2773,-1630.1816,3566.7363,False
185,Poland,Switzerland,1256.139,-1552.0358,4064.3138,False
186,Poland,UK,548.4948,-1978.8625,3075.8521,False
187,Poland,USA,1508.4243,-941.797,3958.6457,False
188,Poland,Venezuela,730.4494,-1827.2494,3288.1482,False
189,Portugal,Spain,-100.6112,-2288.1464,2086.9241,False
190,Portugal,Sweden,590.3522,-1442.2475,2622.9519,False
191,Portugal,Switzerland,878.2139,-1416.4143,3172.842,False
192,Portugal,UK,170.5697,-1770.3084,2111.4478,False
193,Portugal,USA,1130.4992,-708.8098,2969.8082,False
194,Portugal,Venezuela,352.5243,-1627.702,2332.7505,False
195,Spain,Sweden,690.9634,-983.0166,2364.9433,False
196,Spain,Switzerland,978.825,-1005.127,2962.777,False
197,Spain,UK,271.1808,-1290.1503,1832.512,False
198,Spain,USA,1231.1103,-201.9998,2664.2205,False
199,Spain,Venezuela,453.1354,-1156.8469,2063.1178,False
200,Sweden,Switzerland,287.8617,-1523.8273,2099.5506,False
201,Sweden,UK,-419.7825,-1755.412,915.847,False
202,Sweden,USA,540.147,-643.0504,1723.3443,False
203,Sweden,Venezuela,-237.8279,-1630.0185,1154.3626,False
204,Switzerland,UK,-707.6442,-2415.7902,1000.5019,False
205,Switzerland,USA,252.2853,-1339.5101,1844.0808,False
206,Switzerland,Venezuela,-525.6896,-2278.4164,1227.0372,False
207,UK,USA,959.9295,-57.6667,1977.5257,False
208,UK,Venezuela,181.9546,-1072.5336,1436.4427,False
209,USA,Venezuela,-777.9749,-1868.75,312.8002,False
