Id,OrderId,ProductId,UnitPrice,Quantity,Discount,price,OnSale,discounted_order,order_total
10319/17,10319,17,31.2,8,0.0,249.6,0,0,1191.1999999999998
10319/28,10319,28,36.4,14,0.0,509.59999999999997,0,0,1191.1999999999998
10319/76,10319,76,14.4,30,0.0,432.0,0,0,1191.1999999999998
10320/71,10320,71,17.2,30,0.0,516.0,0,0,516.0
10321/35,10321,35,14.4,10,0.0,144.0,0,0,144.0
10322/52,10322,52,5.6,20,0.0,112.0,0,0,112.0
10323/15,10323,15,12.4,5,0.0,62.0,0,0,164.4
10323/25,10323,25,11.2,4,0.0,44.8,0,0,164.4
10323/39,10323,39,14.4,4,0.0,57.6,0,0,164.4
10324/16,10324,16,13.9,21,0.15,248.11499999999998,1,1,5275.715
10324/35,10324,35,14.4,70,0.15,856.8000000000001,1,1,5275.715
10324/46,10324,46,9.6,30,0.0,288.0,0,1,5275.715
10324/59,10324,59,44.0,40,0.15,1496.0,1,1,5275.715
10324/63,10324,63,35.1,80,0.15,2386.8,1,1,5275.715
10325/6,10325,6,20.0,6,0.0,120.0,0,0,1497.0
10325/13,10325,13,4.8,12,0.0,57.599999999999994,0,0,1497.0
10325/14,10325,14,18.6,9,0.0,167.4,0,0,1497.0
10325/31,10325,31,10.0,4,0.0,40.0,0,0,1497.0
10325/72,10325,72,27.8,40,0.0,1112.0,0,0,1497.0
10326/4,10326,4,17.6,24,0.0,422.40000000000003,0,0,982.0
10326/57,10326,57,15.6,16,0.0,249.6,0,0,982.0
10326/75,10326,75,6.2,50,0.0,310.0,0,0,982.0
10327/2,10327,2,15.2,25,0.2,304.0,1,1,1810.0
10327/11,10327,11,16.8,50,0.2,672.0000000000001,1,1,1810.0
10327/30,10327,30,20.7,35,0.2,579.5999999999999,1,1,1810.0
10327/58,10327,58,10.6,30,0.2,254.4,1,1,1810.0
10328/59,10328,59,44.0,9,0.0,396.0,0,0,1168.0
10328/65,10328,65,16.8,40,0.0,672.0,0,0,1168.0
10328/68,10328,68,10.0,10,0.0,100.0,0,0,1168.0
10329/19,10329,19,7.3,10,0.05,69.35,1,1,4578.43
10329/30,10329,30,20.7,8,0.05,157.32,1,1,4578.43
10329/38,10329,38,210.8,20,0.05,4005.2,1,1,4578.43
10329/56,10329,56,30.4,12,0.05,346.56,1,1,4578.43
10330/26,10330,26,24.9,50,0.15,1058.25,1,1,1649.0
10330/72,10330,72,27.8,25,0.15,590.75,1,1,1649.0
10331/54,10331,54,5.9,15,0.0,88.5,0,0,88.5
10332/18,10332,18,50.0,40,0.2,1600.0,1,1,1786.8799999999999
10332/42,10332,42,11.2,10,0.2,89.6,1,1,1786.8799999999999
10332/47,10332,47,7.6,16,0.2,97.28,1,1,1786.8799999999999
10333/14,10333,14,18.6,10,0.0,186.0,0,1,877.2
10333/21,10333,21,8.0,10,0.1,72.0,1,1,877.2
10333/71,10333,71,17.2,40,0.1,619.2,1,1,877.2
10334/52,10334,52,5.6,8,0.0,44.8,0,0,144.8
10334/68,10334,68,10.0,10,0.0,100.0,0,0,144.8
10335/2,10335,2,15.2,7,0.2,85.12,1,1,2036.16
10335/31,10335,31,10.0,25,0.2,200.0,1,1,2036.16
10335/32,10335,32,25.6,6,0.2,122.88000000000002,1,1,2036.16
10335/51,10335,51,42.4,48,0.2,1628.16,1,1,2036.16
10336/4,10336,4,17.6,18,0.1,285.12,1,1,285.12
10337/23,10337,23,7.2,40,0.0,288.0,0,0,2467.0
10337/26,10337,26,24.9,24,0.0,597.5999999999999,0,0,2467.0
10337/36,10337,36,15.2,20,0.0,304.0,0,0,2467.0
10337/37,10337,37,20.8,28,0.0,582.4,0,0,2467.0
10337/72,10337,72,27.8,25,0.0,695.0,0,0,2467.0
10338/17,10338,17,31.2,20,0.0,624.0,0,0,934.5
10338/30,10338,30,20.7,15,0.0,310.5,0,0,934.5
10339/4,10339,4,17.6,10,0.0,176.0,0,1,3354.0
10339/17,10339,17,31.2,70,0.05,2074.7999999999997,1,1,3354.0
10339/62,10339,62,39.4,28,0.0,1103.2,0,1,3354.0
10340/18,10340,18,50.0,20,0.05,950.0,1,1,2436.1799999999994
10340/41,10340,41,7.7,12,0.05,87.78,1,1,2436.1799999999994
10340/43,10340,43,36.8,40,0.05,1398.3999999999996,1,1,2436.1799999999994
10341/33,10341,33,2.0,8,0.0,16.0,0,1,352.59999999999997
10341/59,10341,59,44.0,9,0.15,336.59999999999997,1,1,352.59999999999997
10342/2,10342,2,15.2,24,0.2,291.84000000000003,1,1,1840.6399999999999
10342/31,10342,31,10.0,56,0.2,448.0,1,1,1840.6399999999999
10342/36,10342,36,15.2,40,0.2,486.4,1,1,1840.6399999999999
10342/55,10342,55,19.2,40,0.2,614.4,1,1,1840.6399999999999
10343/64,10343,64,26.6,50,0.0,1330.0,0,1,1584.0
10343/68,10343,68,10.0,4,0.05,38.0,1,1,1584.0
10343/76,10343,76,14.4,15,0.0,216.0,0,1,1584.0
10344/4,10344,4,17.6,35,0.0,616.0,0,1,2296.0
10344/8,10344,8,32.0,70,0.25,1680.0,1,1,2296.0
10345/8,10345,8,32.0,70,0.0,2240.0,0,0,2924.8
10345/19,10345,19,7.3,80,0.0,584.0,0,0,2924.8
10345/42,10345,42,11.2,9,0.0,100.8,0,0,2924.8
10346/17,10346,17,31.2,36,0.1,1010.8799999999999,1,1,1618.8799999999999
10346/56,10346,56,30.4,20,0.0,608.0,0,1,1618.8799999999999
10347/25,10347,25,11.2,10,0.0,112.0,0,1,814.42
10347/39,10347,39,14.4,50,0.15,612.0,1,1,814.42
10347/40,10347,40,14.7,4,0.0,58.8,0,1,814.42
10347/75,10347,75,6.2,6,0.15,31.619999999999997,1,1,814.42
10348/1,10348,1,14.4,15,0.15,183.6,1,1,363.6
10348/23,10348,23,7.2,25,0.0,180.0,0,1,363.6
10349/54,10349,54,5.9,24,0.0,141.60000000000002,0,0,141.60000000000002
10350/50,10350,50,13.0,15,0.1,175.50000000000003,1,1,642.0600000000001
10350/69,10350,69,28.8,18,0.1,466.56000000000006,1,1,642.0600000000001
10351/38,10351,38,210.8,20,0.05,4005.2,1,1,5398.725
10351/41,10351,41,7.7,13,0.0,100.10000000000001,0,1,5398.725
10351/44,10351,44,15.5,77,0.05,1133.825,1,1,5398.725
10351/65,10351,65,16.8,10,0.05,159.6,1,1,5398.725
10352/24,10352,24,3.6,10,0.0,36.0,0,1,136.3
10352/54,10352,54,5.9,20,0.15,100.30000000000001,1,1,136.3
10353/11,10353,11,16.8,12,0.2,161.28000000000003,1,1,8593.28
10353/38,10353,38,210.8,50,0.2,8432.0,1,1,8593.28
10354/1,10354,1,14.4,12,0.0,172.8,0,0,568.8
10354/29,10354,29,99.0,4,0.0,396.0,0,0,568.8
10355/24,10355,24,3.6,25,0.0,90.0,0,0,480.0
10355/57,10355,57,15.6,25,0.0,390.0,0,0,480.0
10356/31,10356,31,10.0,30,0.0,300.0,0,0,1106.4
10356/55,10356,55,19.2,12,0.0,230.39999999999998,0,0,1106.4
10356/69,10356,69,28.8,20,0.0,576.0,0,0,1106.4
10357/10,10357,10,24.8,30,0.2,595.2,1,1,1167.68
10357/26,10357,26,24.9,16,0.0,398.4,0,1,1167.68
10357/60,10357,60,27.2,8,0.2,174.08,1,1,1167.68
10358/24,10358,24,3.6,10,0.05,34.2,1,1,429.4
10358/34,10358,34,11.2,10,0.05,106.39999999999999,1,1,429.4
10358/36,10358,36,15.2,20,0.05,288.8,1,1,429.4
10359/16,10359,16,13.9,56,0.05,739.48,1,1,3471.68
10359/31,10359,31,10.0,70,0.05,665.0,1,1,3471.68
10359/60,10359,60,27.2,80,0.05,2067.2,1,1,3471.68
10360/28,10360,28,36.4,30,0.0,1092.0,0,0,7390.2
10360/29,10360,29,99.0,35,0.0,3465.0,0,0,7390.2
10360/38,10360,38,210.8,10,0.0,2108.0,0,0,7390.2
10360/49,10360,49,16.0,35,0.0,560.0,0,0,7390.2
10360/54,10360,54,5.9,28,0.0,165.20000000000002,0,0,7390.2
10361/39,10361,39,14.4,54,0.1,699.84,1,1,2046.2400000000002
10361/60,10361,60,27.2,55,0.1,1346.4,1,1,2046.2400000000002
10362/25,10362,25,11.2,50,0.0,560.0,0,0,1549.6
10362/51,10362,51,42.4,20,0.0,848.0,0,0,1549.6
10362/54,10362,54,5.9,24,0.0,141.60000000000002,0,0,1549.6
10363/31,10363,31,10.0,20,0.0,200.0,0,0,447.2
10363/75,10363,75,6.2,12,0.0,74.4,0,0,447.2
10363/76,10363,76,14.4,12,0.0,172.8,0,0,447.2
10364/69,10364,69,28.8,30,0.0,864.0,0,0,950.0
10364/71,10364,71,17.2,5,0.0,86.0,0,0,950.0
10365/11,10365,11,16.8,24,0.0,403.20000000000005,0,0,403.20000000000005
10366/65,10366,65,16.8,5,0.0,84.0,0,0,136.0
10366/77,10366,77,10.4,5,0.0,52.0,0,0,136.0
10367/34,10367,34,11.2,36,0.0,403.2,0,0,834.1999999999999
10367/54,10367,54,5.9,18,0.0,106.2,0,0,834.1999999999999
10367/65,10367,65,16.8,15,0.0,252.0,0,0,834.1999999999999
10367/77,10367,77,10.4,7,0.0,72.8,0,0,834.1999999999999
10368/21,10368,21,8.0,5,0.1,36.0,1,1,1689.7800000000002
10368/28,10368,28,36.4,13,0.1,425.88,1,1,1689.7800000000002
10368/57,10368,57,15.6,25,0.0,390.0,0,1,1689.7800000000002
10368/64,10368,64,26.6,35,0.1,837.9000000000001,1,1,1689.7800000000002
10369/29,10369,29,99.0,20,0.0,1980.0,0,1,2390.4
10369/56,10369,56,30.4,18,0.25,410.4,1,1,2390.4
10370/1,10370,1,14.4,15,0.15,183.6,1,1,1117.6
10370/64,10370,64,26.6,30,0.0,798.0,0,1,1117.6
10370/74,10370,74,8.0,20,0.15,136.0,1,1,1117.6
10371/36,10371,36,15.2,6,0.2,72.96000000000001,1,1,72.96000000000001
10372/20,10372,20,64.8,12,0.25,583.1999999999999,1,1,9210.900000000001
10372/38,10372,38,210.8,40,0.25,6324.000000000001,1,1,9210.900000000001
10372/60,10372,60,27.2,70,0.25,1428.0,1,1,9210.900000000001
10372/72,10372,72,27.8,42,0.25,875.7,1,1,9210.900000000001
10373/58,10373,58,10.6,80,0.2,678.4000000000001,1,1,1366.4
10373/71,10373,71,17.2,50,0.2,688.0,1,1,1366.4
10374/31,10374,31,10.0,30,0.0,300.0,0,0,459.0
10374/58,10374,58,10.6,15,0.0,159.0,0,0,459.0
10375/14,10375,14,18.6,15,0.0,279.0,0,0,338.0
10375/54,10375,54,5.9,10,0.0,59.0,0,0,338.0
10376/31,10376,31,10.0,42,0.05,399.0,1,1,399.0
10377/28,10377,28,36.4,20,0.15,618.8,1,1,863.5999999999999
10377/39,10377,39,14.4,20,0.15,244.8,1,1,863.5999999999999
10378/71,10378,71,17.2,6,0.0,103.19999999999999,0,0,103.19999999999999
10379/41,10379,41,7.7,8,0.1,55.440000000000005,1,1,863.2800000000002
10379/63,10379,63,35.1,16,0.1,505.44000000000005,1,1,863.2800000000002
10379/65,10379,65,16.8,20,0.1,302.40000000000003,1,1,863.2800000000002
10380/30,10380,30,20.7,18,0.1,335.34,1,1,1313.82
10380/53,10380,53,26.2,20,0.1,471.59999999999997,1,1,1313.82
10380/60,10380,60,27.2,6,0.1,146.88,1,1,1313.82
10380/70,10380,70,12.0,30,0.0,360.0,0,1,1313.82
10381/74,10381,74,8.0,14,0.0,112.0,0,0,112.0
10382/5,10382,5,17.0,32,0.0,544.0,0,0,2900.0
10382/18,10382,18,50.0,9,0.0,450.0,0,0,2900.0
10382/29,10382,29,99.0,14,0.0,1386.0,0,0,2900.0
10382/33,10382,33,2.0,60,0.0,120.0,0,0,2900.0
10382/74,10382,74,8.0,50,0.0,400.0,0,0,2900.0
10383/13,10383,13,4.8,20,0.0,96.0,0,0,899.0
10383/50,10383,50,13.0,15,0.0,195.0,0,0,899.0
10383/56,10383,56,30.4,20,0.0,608.0,0,0,899.0
10384/20,10384,20,64.8,28,0.0,1814.3999999999999,0,0,2222.3999999999996
10384/60,10384,60,27.2,15,0.0,408.0,0,0,2222.3999999999996
10385/7,10385,7,24.0,10,0.2,192.00000000000003,1,1,691.2
10385/60,10385,60,27.2,20,0.2,435.20000000000005,1,1,691.2
10385/68,10385,68,10.0,8,0.2,64.0,1,1,691.2
10386/24,10386,24,3.6,15,0.0,54.0,0,0,166.0
10386/34,10386,34,11.2,10,0.0,112.0,0,0,166.0
10387/24,10387,24,3.6,15,0.0,54.0,0,0,1058.4
10387/28,10387,28,36.4,6,0.0,218.39999999999998,0,0,1058.4
10387/59,10387,59,44.0,12,0.0,528.0,0,0,1058.4
10387/71,10387,71,17.2,15,0.0,258.0,0,0,1058.4
10388/45,10388,45,7.6,15,0.2,91.2,1,1,1228.8
10388/52,10388,52,5.6,20,0.2,89.6,1,1,1228.8
10388/53,10388,53,26.2,40,0.0,1048.0,0,1,1228.8
10389/10,10389,10,24.8,16,0.0,396.8,0,0,1832.8
10389/55,10389,55,19.2,15,0.0,288.0,0,0,1832.8
10389/62,10389,62,39.4,20,0.0,788.0,0,0,1832.8
10389/70,10389,70,12.0,30,0.0,360.0,0,0,1832.8
10390/31,10390,31,10.0,60,0.1,540.0,1,1,2090.88
10390/35,10390,35,14.4,40,0.1,518.4000000000001,1,1,2090.88
10390/46,10390,46,9.6,45,0.0,432.0,0,1,2090.88
10390/72,10390,72,27.8,24,0.1,600.48,1,1,2090.88
10391/13,10391,13,4.8,18,0.0,86.39999999999999,0,0,86.39999999999999
10392/69,10392,69,28.8,50,0.0,1440.0,0,0,1440.0
10393/2,10393,2,15.2,25,0.25,284.99999999999994,1,1,2556.95
10393/14,10393,14,18.6,42,0.25,585.9000000000001,1,1,2556.95
10393/25,10393,25,11.2,7,0.25,58.79999999999999,1,1,2556.95
10393/26,10393,26,24.9,70,0.25,1307.2499999999998,1,1,2556.95
10393/31,10393,31,10.0,32,0.0,320.0,0,1,2556.95
10394/13,10394,13,4.8,10,0.0,48.0,0,0,442.0
10394/62,10394,62,39.4,10,0.0,394.0,0,0,442.0
10395/46,10395,46,9.6,28,0.1,241.92000000000002,1,1,2122.92
10395/53,10395,53,26.2,70,0.1,1650.6,1,1,2122.92
10395/69,10395,69,28.8,8,0.0,230.4,0,1,2122.92
10396/23,10396,23,7.2,40,0.0,288.0,0,0,1903.8000000000002
10396/71,10396,71,17.2,60,0.0,1032.0,0,0,1903.8000000000002
10396/72,10396,72,27.8,21,0.0,583.8000000000001,0,0,1903.8000000000002
10397/21,10397,21,8.0,10,0.15,68.0,1,1,716.72
10397/51,10397,51,42.4,18,0.15,648.72,1,1,716.72
10398/35,10398,35,14.4,30,0.0,432.0,0,1,2505.6000000000004
10398/55,10398,55,19.2,120,0.1,2073.6000000000004,1,1,2505.6000000000004
10399/68,10399,68,10.0,60,0.0,600.0,0,0,1765.6
