SalesPrice,Customer Id,Discount,Employee Id,F1,Freight,Id (Order.csv),Id,Number of Records,Order Date,Order Id,Product Id,Quantity,Required Date,Ship Address,Ship City,Ship Country,Ship Name,Ship Postal Code,Ship Region,Ship Via,Shipped Date,Unit Price
1.9,SUPRD,0.05,4,12,51.3,10252,10252/33,1,7/9/2012,10252,33,25,8/6/2012,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,2,7/11/2012,2
27.2,SUPRD,0,4,13,51.3,10252,10252/60,1,7/9/2012,10252,60,40,8/6/2012,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,2,7/11/2012,27.2
10,HANAR,0,3,14,58.17,10253,10253/31,1,7/10/2012,10253,31,20,7/24/2012,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,2,7/16/2012,10
14.4,HANAR,0,3,15,58.17,10253,10253/39,1,7/10/2012,10253,39,42,7/24/2012,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,2,7/16/2012,14.4
16,HANAR,0,3,16,58.17,10253,10253/49,1,7/10/2012,10253,49,40,7/24/2012,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,South America,2,7/16/2012,16
3.06,CHOPS,0.15,5,17,22.98,10254,10254/24,1,7/11/2012,10254,24,15,8/8/2012,Hauptstr. 31,Bern,Switzerland,Chop-suey Chinese,3012,Western Europe,2,7/23/2012,3.6
16.32,CHOPS,0.15,5,18,22.98,10254,10254/55,1,7/11/2012,10254,55,21,8/8/2012,Hauptstr. 31,Bern,Switzerland,Chop-suey Chinese,3012,Western Europe,2,7/23/2012,19.2
8,CHOPS,0,5,19,22.98,10254,10254/74,1,7/11/2012,10254,74,21,8/8/2012,Hauptstr. 31,Bern,Switzerland,Chop-suey Chinese,3012,Western Europe,2,7/23/2012,8
15.2,RICSU,0,9,20,148.33,10255,10255/2,1,7/12/2012,10255,2,20,8/9/2012,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,Western Europe,3,7/15/2012,15.2
13.9,RICSU,0,9,21,148.33,10255,10255/16,1,7/12/2012,10255,16,35,8/9/2012,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,Western Europe,3,7/15/2012,13.9
15.2,RICSU,0,9,22,148.33,10255,10255/36,1,7/12/2012,10255,36,25,8/9/2012,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,Western Europe,3,7/15/2012,15.2
44,RICSU,0,9,23,148.33,10255,10255/59,1,7/12/2012,10255,59,30,8/9/2012,Starenweg 5,Genève,Switzerland,Richter Supermarkt,1204,Western Europe,3,7/15/2012,44
26.2,WELLI,0,3,24,13.97,10256,10256/53,1,7/15/2012,10256,53,15,8/12/2012,"Rua do Mercado, 12",Resende,Brazil,Wellington Importadora,08737-363,South America,2,7/17/2012,26.2
10.4,WELLI,0,3,25,13.97,10256,10256/77,1,7/15/2012,10256,77,12,8/12/2012,"Rua do Mercado, 12",Resende,Brazil,Wellington Importadora,08737-363,South America,2,7/17/2012,10.4
35.1,HILAA,0,4,26,81.91,10257,10257/27,1,7/16/2012,10257,27,25,8/13/2012,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,HILARION-Abastos,5022,South America,3,7/22/2012,35.1
14.4,HILAA,0,4,27,81.91,10257,10257/39,1,7/16/2012,10257,39,6,8/13/2012,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,HILARION-Abastos,5022,South America,3,7/22/2012,14.4
10.4,HILAA,0,4,28,81.91,10257,10257/77,1,7/16/2012,10257,77,15,8/13/2012,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Venezuela,HILARION-Abastos,5022,South America,3,7/22/2012,10.4
12.16,ERNSH,0.2,1,29,140.51,10258,10258/2,1,7/17/2012,10258,2,50,8/14/2012,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,1,7/23/2012,15.2
13.6,ERNSH,0.2,1,30,140.51,10258,10258/5,1,7/17/2012,10258,5,65,8/14/2012,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,1,7/23/2012,17
20.48,ERNSH,0.2,1,31,140.51,10258,10258/32,1,7/17/2012,10258,32,6,8/14/2012,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,1,7/23/2012,25.6
8,CENTC,0,4,32,3.25,10259,10259/21,1,7/18/2012,10259,21,10,8/15/2012,Sierras de Granada 9993,México D.F.,Mexico,Centro comercial Moctezuma,05022,Central America,3,7/25/2012,8
20.8,CENTC,0,4,33,3.25,10259,10259/37,1,7/18/2012,10259,37,1,8/15/2012,Sierras de Granada 9993,México D.F.,Mexico,Centro comercial Moctezuma,05022,Central America,3,7/25/2012,20.8
5.775,OTTIK,0.25,4,34,55.09,10260,10260/41,1,7/19/2012,10260,41,16,8/16/2012,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,Western Europe,1,7/29/2012,7.7
15.6,OTTIK,0,4,35,55.09,10260,10260/57,1,7/19/2012,10260,57,50,8/16/2012,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,Western Europe,1,7/29/2012,15.6
29.55,OTTIK,0.25,4,36,55.09,10260,10260/62,1,7/19/2012,10260,62,15,8/16/2012,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,Western Europe,1,7/29/2012,39.4
9,OTTIK,0.25,4,37,55.09,10260,10260/70,1,7/19/2012,10260,70,21,8/16/2012,Mehrheimerstr. 369,Köln,Germany,Ottilies Käseladen,50739,Western Europe,1,7/29/2012,12
8,QUEDE,0,4,38,3.05,10261,10261/21,1,7/19/2012,10261,21,20,8/16/2012,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,2,7/30/2012,8
14.4,QUEDE,0,4,39,3.05,10261,10261/35,1,7/19/2012,10261,35,20,8/16/2012,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,2,7/30/2012,14.4
13.6,RATTC,0.2,8,40,48.29,10262,10262/5,1,7/22/2012,10262,5,12,8/19/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,3,7/25/2012,17
24,RATTC,0,8,41,48.29,10262,10262/7,1,7/22/2012,10262,7,15,8/19/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,3,7/25/2012,24
30.4,RATTC,0,8,42,48.29,10262,10262/56,1,7/22/2012,10262,56,2,8/19/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,3,7/25/2012,30.4
10.425,ERNSH,0.25,9,43,146.06,10263,10263/16,1,7/23/2012,10263,16,60,8/20/2012,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,3,7/31/2012,13.9
3.6,ERNSH,0,9,44,146.06,10263,10263/24,1,7/23/2012,10263,24,28,8/20/2012,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,3,7/31/2012,3.6
15.525,ERNSH,0.25,9,45,146.06,10263,10263/30,1,7/23/2012,10263,30,60,8/20/2012,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,3,7/31/2012,20.7
6,ERNSH,0.25,9,46,146.06,10263,10263/74,1,7/23/2012,10263,74,36,8/20/2012,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,3,7/31/2012,8
15.2,FOLKO,0,6,47,3.67,10264,10264/2,1,7/24/2012,10264,2,35,8/21/2012,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,Northern Europe,3,8/23/2012,15.2
6.545,FOLKO,0.15,6,48,3.67,10264,10264/41,1,7/24/2012,10264,41,25,8/21/2012,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,Northern Europe,3,8/23/2012,7.7
31.2,BLONP,0,2,49,55.28,10265,10265/17,1,7/25/2012,10265,17,30,8/22/2012,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,1,8/12/2012,31.2
12,BLONP,0,2,50,55.28,10265,10265/70,1,7/25/2012,10265,70,20,8/22/2012,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,1,8/12/2012,12
28.88,WARTH,0.05,3,51,25.73,10266,10266/12,1,7/26/2012,10266,12,12,9/6/2012,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,3,7/31/2012,30.4
14.7,FRANK,0,4,52,208.58,10267,10267/40,1,7/29/2012,10267,40,50,8/26/2012,Berliner Platz 43,München,Germany,Frankenversand,80805,Western Europe,1,8/6/2012,14.7
37.4,FRANK,0.15,4,53,208.58,10267,10267/59,1,7/29/2012,10267,59,70,8/26/2012,Berliner Platz 43,München,Germany,Frankenversand,80805,Western Europe,1,8/6/2012,44
12.24,FRANK,0.15,4,54,208.58,10267,10267/76,1,7/29/2012,10267,76,15,8/26/2012,Berliner Platz 43,München,Germany,Frankenversand,80805,Western Europe,1,8/6/2012,14.4
99,GROSR,0,8,55,66.29,10268,10268/29,1,7/30/2012,10268,29,10,8/27/2012,5ª Ave. Los Palos Grandes,Caracas,Venezuela,GROSELLA-Restaurante,1081,South America,3,8/2/2012,99
27.8,GROSR,0,8,56,66.29,10268,10268/72,1,7/30/2012,10268,72,4,8/27/2012,5ª Ave. Los Palos Grandes,Caracas,Venezuela,GROSELLA-Restaurante,1081,South America,3,8/2/2012,27.8
1.9,WHITC,0.05,5,57,4.56,10269,10269/33,1,7/31/2012,10269,33,60,8/14/2012,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,North America,1,8/9/2012,2
26.41,WHITC,0.05,5,58,4.56,10269,10269/72,1,7/31/2012,10269,72,20,8/14/2012,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,North America,1,8/9/2012,27.8
15.2,WARTH,0,1,59,136.54,10270,10270/36,1,8/1/2012,10270,36,30,8/29/2012,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,1,8/2/2012,15.2
36.8,WARTH,0,1,60,136.54,10270,10270/43,1,8/1/2012,10270,43,25,8/29/2012,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,1,8/2/2012,36.8
2,SPLIR,0,6,61,4.54,10271,10271/33,1,8/1/2012,10271,33,24,8/29/2012,P.O. Box 555,Lander,USA,Split Rail Beer & Ale,82520,North America,2,8/30/2012,2
64.8,RATTC,0,6,62,98.03,10272,10272/20,1,8/2/2012,10272,20,6,8/30/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,2,8/6/2012,64.8
10,RATTC,0,6,63,98.03,10272,10272/31,1,8/2/2012,10272,31,40,8/30/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,2,8/6/2012,10
27.8,RATTC,0,6,64,98.03,10272,10272/72,1,8/2/2012,10272,72,24,8/30/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,2,8/6/2012,27.8
23.56,QUICK,0.05,3,65,76.07,10273,10273/10,1,8/5/2012,10273,10,24,9/2/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,8/12/2012,24.8
9.5,QUICK,0.05,3,66,76.07,10273,10273/31,1,8/5/2012,10273,31,15,9/2/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,8/12/2012,10
2,QUICK,0,3,67,76.07,10273,10273/33,1,8/5/2012,10273,33,20,9/2/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,8/12/2012,2
13.965,QUICK,0.05,3,68,76.07,10273,10273/40,1,8/5/2012,10273,40,60,9/2/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,8/12/2012,14.7
13.68,QUICK,0.05,3,69,76.07,10273,10273/76,1,8/5/2012,10273,76,33,9/2/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,8/12/2012,14.4
17.2,VINET,0,6,70,6.01,10274,10274/71,1,8/6/2012,10274,71,20,9/3/2012,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,1,8/16/2012,17.2
27.8,VINET,0,6,71,6.01,10274,10274/72,1,8/6/2012,10274,72,7,9/3/2012,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,1,8/16/2012,27.8
3.42,MAGAA,0.05,1,72,26.93,10275,10275/24,1,8/7/2012,10275,24,12,9/4/2012,Via Ludovico il Moro 22,Bergamo,Italy,Magazzini Alimentari Riuniti,24100,Southern Europe,1,8/9/2012,3.6
41.8,MAGAA,0.05,1,73,26.93,10275,10275/59,1,8/7/2012,10275,59,6,9/4/2012,Via Ludovico il Moro 22,Bergamo,Italy,Magazzini Alimentari Riuniti,24100,Southern Europe,1,8/9/2012,44
24.8,TORTU,0,8,74,13.84,10276,10276/10,1,8/8/2012,10276,10,15,8/22/2012,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,3,8/14/2012,24.8
4.8,TORTU,0,8,75,13.84,10276,10276/13,1,8/8/2012,10276,13,10,8/22/2012,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,3,8/14/2012,4.8
36.4,MORGK,0,2,76,125.77,10277,10277/28,1,8/9/2012,10277,28,20,9/6/2012,Heerstr. 22,Leipzig,Germany,Morgenstern Gesundkost,04179,Western Europe,3,8/13/2012,36.4
39.4,MORGK,0,2,77,125.77,10277,10277/62,1,8/9/2012,10277,62,12,9/6/2012,Heerstr. 22,Leipzig,Germany,Morgenstern Gesundkost,04179,Western Europe,3,8/13/2012,39.4
15.5,BERGS,0,8,78,92.69,10278,10278/44,1,8/12/2012,10278,44,16,9/9/2012,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,2,8/16/2012,15.5
44,BERGS,0,8,79,92.69,10278,10278/59,1,8/12/2012,10278,59,15,9/9/2012,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,2,8/16/2012,44
35.1,BERGS,0,8,80,92.69,10278,10278/63,1,8/12/2012,10278,63,8,9/9/2012,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,2,8/16/2012,35.1
12,BERGS,0,8,81,92.69,10278,10278/73,1,8/12/2012,10278,73,25,9/9/2012,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,2,8/16/2012,12
23.4,LEHMS,0.25,8,82,25.83,10279,10279/17,1,8/13/2012,10279,17,15,9/10/2012,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,2,8/16/2012,31.2
3.6,BERGS,0,2,83,8.98,10280,10280/24,1,8/14/2012,10280,24,12,9/11/2012,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,1,9/12/2012,3.6
19.2,BERGS,0,2,84,8.98,10280,10280/55,1,8/14/2012,10280,55,20,9/11/2012,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,1,9/12/2012,19.2
6.2,BERGS,0,2,85,8.98,10280,10280/75,1,8/14/2012,10280,75,30,9/11/2012,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,1,9/12/2012,6.2
7.3,ROMEY,0,4,86,2.94,10281,10281/19,1,8/14/2012,10281,19,1,8/28/2012,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,1,8/21/2012,7.3
3.6,ROMEY,0,4,87,2.94,10281,10281/24,1,8/14/2012,10281,24,6,8/28/2012,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,1,8/21/2012,3.6
14.4,ROMEY,0,4,88,2.94,10281,10281/35,1,8/14/2012,10281,35,4,8/28/2012,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,1,8/21/2012,14.4
20.7,ROMEY,0,4,89,12.69,10282,10282/30,1,8/15/2012,10282,30,6,9/12/2012,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,1,8/21/2012,20.7
15.6,ROMEY,0,4,90,12.69,10282,10282/57,1,8/15/2012,10282,57,2,9/12/2012,"Gran Vía, 1",Madrid,Spain,Romero y tomillo,28001,Southern Europe,1,8/21/2012,15.6
12.4,LILAS,0,3,91,84.81,10283,10283/15,1,8/16/2012,10283,15,20,9/13/2012,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,3,8/23/2012,12.4
7.3,LILAS,0,3,92,84.81,10283,10283/19,1,8/16/2012,10283,19,18,9/13/2012,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,3,8/23/2012,7.3
27.2,LILAS,0,3,93,84.81,10283,10283/60,1,8/16/2012,10283,60,35,9/13/2012,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,3,8/23/2012,27.2
27.8,LILAS,0,3,94,84.81,10283,10283/72,1,8/16/2012,10283,72,3,9/13/2012,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,3,8/23/2012,27.8
26.325,LEHMS,0.25,4,95,76.56,10284,10284/27,1,8/19/2012,10284,27,15,9/16/2012,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,1,8/27/2012,35.1
15.5,LEHMS,0,4,96,76.56,10284,10284/44,1,8/19/2012,10284,44,21,9/16/2012,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,1,8/27/2012,15.5
20.4,LEHMS,0.25,4,97,76.56,10284,10284/60,1,8/19/2012,10284,60,20,9/16/2012,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,1,8/27/2012,27.2
8.4,LEHMS,0.25,4,98,76.56,10284,10284/67,1,8/19/2012,10284,67,5,9/16/2012,Magazinweg 7,Frankfurt a.M.,Germany,Lehmanns Marktstand,60528,Western Europe,1,8/27/2012,11.2
11.52,QUICK,0.2,1,99,76.83,10285,10285/1,1,8/20/2012,10285,1,45,9/17/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,2,8/26/2012,14.4
11.76,QUICK,0.2,1,100,76.83,10285,10285/40,1,8/20/2012,10285,40,40,9/17/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,2,8/26/2012,14.7
20.96,QUICK,0.2,1,101,76.83,10285,10285/53,1,8/20/2012,10285,53,36,9/17/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,2,8/26/2012,26.2
14.4,QUICK,0,8,102,229.24,10286,10286/35,1,8/21/2012,10286,35,100,9/18/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,8/30/2012,14.4
39.4,QUICK,0,8,103,229.24,10286,10286/62,1,8/21/2012,10286,62,40,9/18/2012,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,8/30/2012,39.4
11.815,RICAR,0.15,8,104,12.76,10287,10287/16,1,8/22/2012,10287,16,40,9/19/2012,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,3,8/28/2012,13.9
11.2,RICAR,0,8,105,12.76,10287,10287/34,1,8/22/2012,10287,34,20,9/19/2012,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,3,8/28/2012,11.2
8.16,RICAR,0.15,8,106,12.76,10287,10287/46,1,8/22/2012,10287,46,15,9/19/2012,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,3,8/28/2012,9.6
5.31,REGGC,0.1,4,107,7.45,10288,10288/54,1,8/23/2012,10288,54,10,9/20/2012,Strada Provinciale 124,Reggio Emilia,Italy,Reggiani Caseifici,42100,Southern Europe,1,9/3/2012,5.9
9,REGGC,0.1,4,108,7.45,10288,10288/68,1,8/23/2012,10288,68,3,9/20/2012,Strada Provinciale 124,Reggio Emilia,Italy,Reggiani Caseifici,42100,Southern Europe,1,9/3/2012,10
8,BSBEV,0,7,109,22.77,10289,10289/3,1,8/26/2012,10289,3,30,9/23/2012,Fauntleroy Circus,London,UK,B's Beverages,EC2 5NT,British Isles,3,8/28/2012,8
26.6,BSBEV,0,7,110,22.77,10289,10289/64,1,8/26/2012,10289,64,9,9/23/2012,Fauntleroy Circus,London,UK,B's Beverages,EC2 5NT,British Isles,3,8/28/2012,26.6
17,COMMI,0,8,111,79.7,10290,10290/5,1,8/27/2012,10290,5,20,9/24/2012,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,1,9/3/2012,17
99,COMMI,0,8,112,79.7,10290,10290/29,1,8/27/2012,10290,29,15,9/24/2012,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,1,9/3/2012,99
16,COMMI,0,8,113,79.7,10290,10290/49,1,8/27/2012,10290,49,15,9/24/2012,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,1,9/3/2012,16
10.4,COMMI,0,8,114,79.7,10290,10290/77,1,8/27/2012,10290,77,10,9/24/2012,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,1,9/3/2012,10.4
4.32,QUEDE,0.1,6,115,6.4,10291,10291/13,1,8/27/2012,10291,13,20,9/24/2012,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,2,9/4/2012,4.8
13.95,QUEDE,0.1,6,116,6.4,10291,10291/44,1,8/27/2012,10291,44,24,9/24/2012,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,2,9/4/2012,15.5
38.16,QUEDE,0.1,6,117,6.4,10291,10291/51,1,8/27/2012,10291,51,2,9/24/2012,"Rua da Panificadora, 12",Rio de Janeiro,Brazil,Que Delícia,02389-673,South America,2,9/4/2012,42.4
64.8,TRADH,0,1,118,1.35,10292,10292/20,1,8/28/2012,10292,20,20,9/25/2012,"Av. Inês de Castro, 414",Sao Paulo,Brazil,Tradiçao Hipermercados,05634-030,South America,2,9/2/2012,64.8
50,TORTU,0,1,119,21.18,10293,10293/18,1,8/29/2012,10293,18,12,9/26/2012,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,3,9/11/2012,50
3.6,TORTU,0,1,120,21.18,10293,10293/24,1,8/29/2012,10293,24,10,9/26/2012,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,3,9/11/2012,3.6
35.1,TORTU,0,1,121,21.18,10293,10293/63,1,8/29/2012,10293,63,5,9/26/2012,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,3,9/11/2012,35.1
6.2,TORTU,0,1,122,21.18,10293,10293/75,1,8/29/2012,10293,75,6,9/26/2012,Avda. Azteca 123,México D.F.,Mexico,Tortuga Restaurante,05033,Central America,3,9/11/2012,6.2
14.4,RATTC,0,4,123,147.26,10294,10294/1,1,8/30/2012,10294,1,18,9/27/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,2,9/5/2012,14.4
31.2,RATTC,0,4,124,147.26,10294,10294/17,1,8/30/2012,10294,17,15,9/27/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,2,9/5/2012,31.2
36.8,RATTC,0,4,125,147.26,10294,10294/43,1,8/30/2012,10294,43,15,9/27/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,2,9/5/2012,36.8
27.2,RATTC,0,4,126,147.26,10294,10294/60,1,8/30/2012,10294,60,21,9/27/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,2,9/5/2012,27.2
6.2,RATTC,0,4,127,147.26,10294,10294/75,1,8/30/2012,10294,75,6,9/27/2012,2817 Milton Dr.,Albuquerque,USA,Rattlesnake Canyon Grocery,87110,North America,2,9/5/2012,6.2
30.4,VINET,0,2,128,1.15,10295,10295/56,1,9/2/2012,10295,56,4,9/30/2012,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,Western Europe,2,9/10/2012,30.4
16.8,LILAS,0,6,129,0.12,10296,10296/11,1,9/3/2012,10296,11,12,10/1/2012,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,1,9/11/2012,16.8
